id,Heb,translit,Hebz,stamgegevens,parent,vergelijk,taal
1,ב,b,ב,IN,NULL,NULL,H
2,חתף,<sup>c</sup>hát<sup>h</sup>af,חתפ,WEGGRISSEN,NULL,NULL,H
3,תאב,tá<sup>ʔ</sup>av,תאב,VERAFSCHUWEN,NULL,NULL,H
4,שׁקץ,s<sup>h</sup>áqa<sup>t</sup>s,שקצ,GRUWELEN,NULL,NULL,H
5,כבר,kávar,כבר,OVERVLOEIEN,NULL,NULL,H
6,דרר/דור,d-r-r/dur,דרר/דור,RONDOM,NULL,NULL,H
7,לענה,l-<sup>ʕ</sup>-n-h,לענה,ABSINTHIUM,NULL,NULL,H
8,צום,<sup>t</sup>sum,צומ,ONTHOUDEN,NULL,NULL,H
9,צמם,<sup>t</sup>s-m-m,צממ,DICHTEN,NULL,NULL,H
10,רצה,rá<sup>t</sup>sáh,רצה,WELBEHAGEN,NULL,NULL,H
11,רצה,rá<sup>t</sup>sáh,רצה,VERGOEDEN,NULL,NULL,H
12,שׁפע,s<sup>h</sup>-p-<sup>ʕ</sup>,שפע,OPHOPING,NULL,NULL,H
13,אחמתא,<sup>ʔ</sup>-<sup>c</sup>h-m-t<sup>h</sup>-<sup>ʔ</sup>,אחמתא,ACHMETA,NULL,NULL,H
14,קנה,qánáh,קנה,VERWERVEN,NULL,NULL,H
15,אישׁ/ישׁ,<sup>ʔ</sup>is<sup>h</sup>/jés<sup>h</sup>,איש/יש,BESTAAN,NULL,NULL,H
16,שׂפק,sáfaq,שפק,VOLDOEN,NULL,NULL,H
17,ספח,sáfa<sup>c</sup>h,ספח,ASSOCIEREN,NULL,NULL,H
18,ספח,sáfa<sup>c</sup>h,ספח,SCHURFTIG,NULL,NULL,H
19,ספח,sáfa<sup>c</sup>h,ספח,UITVOUWEN,NULL,NULL,H
20,דין/דון,dájan/d-w-n,דינ/דונ,RICHTEN,NULL,NULL,H
21,אדן,<sup>ʔ</sup>-d-l,אדנ,HEER,NULL,NULL,H
22,אדן,<sup>ʔ</sup>-d-l,אדנ,STEUN,NULL,NULL,H
23,מת,m-t<sup>h</sup>,מת,VOLWASSEN,NULL,NULL,H
