vid,Woord,id
1008017,27,6123
1009021,12,27379
1009021,13,62429
1012008,13,27380
1012008,14,62392
1013003,17,27381
1013003,18,62424
1014002,18,36117
1014008,13,36117
1024033,1,778
1024033,2,11822
1025023,7,35465
1027003,20,35634
1027029,4,779
1027029,5,43559
1030011,4,16337
1030011,5,53235
1033004,13,51907
1033004,14,62411
1035021,6,27382
1035021,7,62392
1036005,5,56867
1036014,17,56867
1039020,16,58168
1043028,15,778
1043028,16,43481
1049010,15,61307
1049011,5,61311
1049011,6,62412
1049011,24,61369
1049011,25,62430
2004002,6,16446
2004002,7,28075
2016002,1,778
2016002,2,66318
2016007,20,66320
2021008,8,3763
2021008,9,62414
2022004,10,60154
2022004,11,62412
2022026,3,47332
2022026,4,62410
2027011,12,779
2027011,13,65585
2027011,14,62411
2028028,6,5248
2028028,7,59325
2028028,8,62411
2032017,8,195
2032017,9,70449
2032017,10,62392
2032019,22,5229
2032019,23,22944
2032019,24,62422
2035011,19,69175
2035011,20,62411
2037008,23,68678
2037008,24,62431
2039004,8,68679
2039004,9,62411
2039033,20,69176
2039033,21,62411
3009022,5,22934
3009022,6,62411
3011021,15,3771
3011021,16,62412
3016021,6,22927
3016021,7,62411
3021005,2,72517
3023013,16,779
3023013,17,56729
3023013,18,62370
3025030,20,3761
3025030,21,62412
4001016,2,3756
4012003,5,74003
4014036,14,778
4014036,15,66319
4016011,16,66320
4021032,12,778
4021032,13,41278
4023013,6,13391
4026009,13,74404
4032007,3,75668
4034004,14,779
4034004,15,1506
5002033,16,21140
5002033,17,62411
5005010,12,51239
5005010,13,62510
5007009,26,51244
5007009,27,62411
5008002,34,51244
5008002,35,62411
5013016,7,648
5013016,8,12677
5021007,8,34296
5022015,4,649
5022015,5,49529
5022015,13,649
5022015,14,49545
5022016,4,649
5022016,5,49529
5022020,12,3887
5022020,13,650
5022020,14,49546
5022021,4,649
5022021,5,49535
5022023,3,49541
5022024,22,649
5022024,23,49539
5022025,10,649
5022025,11,49537
5022026,1,779
5022026,2,3887
5022026,3,650
5022026,4,49537
5022026,9,3887
5022026,10,650
5022026,11,49529
5022027,8,649
5022027,9,49537
5022028,4,49524
5022029,11,649
5022029,12,49529
5027010,11,51266
5027010,12,62422
5028027,7,780
5028027,8,196
5028027,9,650
5028027,10,77786
5028030,6,45560
5028030,7,62787
5029022,26,780
5029022,27,36117
5032013,4,73202
5033002,25,42426
5033002,26,78648
5033009,21,21140
5033009,22,62411
6002013,16,27691
6002013,17,62494
6003004,6,780
6003004,7,3443
6003004,8,62411
6003016,15,5244
6003016,16,78842
6004018,3,9174
6004018,4,10897
6005001,37,32244
6005001,38,62748
6006005,9,9166
6006005,10,19609
6006005,11,62655
6006007,1,778
6006007,2,2273
6006009,9,54483
6006013,35,12943
6007021,1,781
6007021,2,2899
6008011,28,3444
6008011,29,62411
6008016,7,197
6008016,8,650
6008016,9,37807
6009007,1,778
6009007,2,2274
6009007,16,34463
6015004,8,779
6015004,9,1507
6015047,19,648
6015047,20,7064
6015053,1,779
6015053,2,79716
6015063,8,38983
6016003,17,75958
6016003,18,62411
6018012,28,779
6018012,29,1506
6018014,19,779
6018014,20,1508
6018019,9,779
6018019,10,1509
6018019,11,75971
6018024,3,651
6018024,4,79821
6019022,7,779
6019022,8,79930
6019029,17,779
6019029,18,1510
6020008,31,76762
6021027,19,76763
6022007,21,195
6022007,22,62104
6024003,20,781
6024003,21,8750
6024008,1,781
6024008,2,15399
6024015,27,5271
6024015,28,62103
7001027,20,27102
7004011,19,195
7004011,20,79974
7006005,10,780
7006005,11,16343
7007013,19,80754
7007021,17,778
7007021,18,40125
7009008,15,57106
7009012,10,57066
7011037,31,779
7011037,32,80916
7011037,33,62510
7013017,12,36373
7013017,13,62579
7016018,26,3871
7016018,27,62471
7016021,26,652
7016021,27,81077
7016025,3,9166
7016025,4,3320
7016025,22,652
7016025,23,81078
7016026,15,778
7016026,16,51850
7016026,17,62477
7017002,15,779
7017002,16,38233
7019003,14,3866
7019003,15,21565
7019003,16,62805
7019013,6,13077
7019021,7,778
7019021,8,37236
7019025,40,9174
7019025,41,10902
7020013,24,21099
7021020,1,778
7021020,2,14239
7021022,10,3860
7021022,11,51645
8001008,15,4884
8002001,4,92698
8003003,7,35092
8003003,8,62674
8003003,11,779
8003003,12,37058
8003004,20,779
8003004,21,45621
8003012,5,3311
8003014,3,92881
8003014,4,62432
8003014,10,195
8003014,11,10294
8004004,28,779
8004004,29,18646
8004005,22,50633
8004006,7,3766
8004006,8,60832
9002003,15,779
9002003,16,3763
9002003,17,62414
9002009,2,78711
9002009,3,62422
9002010,3,51694
9002010,4,62411
9002010,5,1708
9002010,6,62422
9002016,25,10367
9003002,14,779
9003002,15,19168
9003002,16,62422
9003018,21,195
9003018,22,19166
9003018,23,62411
9004013,10,22806
9005006,15,198
9005006,16,650
9005006,17,77786
9005009,32,77787
9005012,8,198
9005012,9,650
9005012,10,77788
9006004,16,77785
9006005,4,77784
9006005,5,62651
9007009,7,778
9007009,8,10735
9007009,9,62415
9008003,6,199
9008003,7,23573
9008003,8,62411
9009001,4,5229
9009001,5,56818
9009026,14,648
9009026,15,70163
9010007,4,16117
9010021,6,3862
9010021,7,33722
9010021,8,62411
9011006,7,9166
9011006,8,19595
9011006,9,62414
9011009,19,9166
9011009,20,43303
9012010,5,778
9012010,6,2304
9013008,1,778
9013008,2,33042
9013019,10,2647
9014027,37,778
9014027,38,6887
9014032,1,778
9014032,2,82179
9014032,6,648
9014032,7,61979
9015016,19,778
9015016,20,2274
9017007,1,779
9017007,2,5956
9017023,19,5229
9017023,20,70941
9018001,17,778
9018001,18,48338
9018001,19,62415
9018006,22,3860
9018006,23,65798
9018007,11,200
9018007,12,47268
9018007,13,62411
9018009,4,82555
9018014,6,23582
9018014,7,62411
9018022,5,35262
9018022,6,62411
9019018,30,195
9019018,31,82613
9019019,9,195
9019019,10,82614
9019022,28,195
9019022,29,82615
9019023,5,82614
9019023,25,195
9019023,26,82615
9020001,4,5229
9020001,5,82616
9020002,9,10402
9020002,10,4838
9020024,15,5529
9020038,16,653
9020038,17,61706
9021012,26,200
9021012,27,47268
9021012,28,62411
9021012,31,195
9021012,32,50331
9021012,33,62431
9021014,15,778
9021014,16,82738
9022013,3,5584
9022013,4,62422
9022015,4,3766
9022015,5,49967
9022017,33,47128
9022017,34,62495
9022018,5,3862
9022018,6,82704
9022018,16,82703
9022022,14,82703
9023005,4,778
9023005,5,17827
9023005,6,62411
9024005,19,48859
9024005,20,62578
9024009,8,5244
9024009,9,648
9024009,10,46531
9024019,1,779
9024019,2,20589
9025003,28,82845
9025018,3,82833
9025018,15,5172
9025034,17,778
9025034,18,15831
9026005,40,49331
9026005,41,62431
9026007,25,52457
9026007,26,62411
9026007,33,49331
9026007,34,62431
9026011,21,52453
9026011,22,62411
9026016,37,52450
9026016,38,62431
9026022,7,82111
9027004,11,23993
9027008,12,779
9027008,13,648
9027008,14,82956
9028008,24,77325
9029005,21,195
9029005,22,50331
9029005,23,62431
9030006,21,21152
9030006,22,62411
10001008,7,781
10001008,8,2218
10001011,4,199
10001011,5,50285
10001011,6,62411
10001016,6,25409
10001016,7,62579
10002023,28,5354
10002023,29,62411
10003002,1,778
10003002,2,20869
10003003,5,3866
10003003,6,82834
10003012,7,5385
10003012,8,62411
10003015,14,82860
10003025,19,83186
10003025,20,62575
10005002,12,1420
10005002,13,648
10005002,14,6196
10005002,15,779
10005002,16,648
10005002,17,15559
10005008,25,50451
10005024,3,9179
10005024,4,19609
10005024,5,62585
10010009,21,96472
10011024,1,778
10011024,2,55108
10011024,3,648
10011024,4,55119
10012009,10,195
10012009,11,19155
10012009,12,62448
10012020,13,35088
10012020,14,62411
10012022,15,779
10012022,16,55712
10012022,17,62472
10012024,19,778
10012024,20,3540
10012031,28,198
10012031,29,650
10012031,30,83714
10013008,16,778
10013008,17,43779
10013034,11,19137
10013034,12,62411
10013037,9,73477
10014007,41,11566
