strong,griUniekeid,kan,uniek
2041,1939,1,1
3956,3830,1,1
4314,4490,1,3
444,438,1,1
2316,5308,1,1
3588,2380,1,1
5600 (1510),1459,0,1
739,728,1,1
2443,2371,1,1
1343,1303,1,1
1722,1653,1,1
3809,3812,1,1
1882,1754,1,1
[1650],1594,0,1
1319,1277,1,1
5624,3729,1,1
2532,2668,1,1
2315,5305,1,1
1124,2188,1,1
2424,2609,1,2
5547,1078,1,1
4102,4256,1,1
1223,1177,1,2
4991,4884,1,1
1519,1467,1,1
4679,4871,1,1
4571,4983,1,1
1410,1378,1,1
1492,1442,1,1
1121,2185,1,1
2413,2349,1,1
1025,974,1,1
575,556,1,1
3754,2455,1,1
3129,3306,1,1
5101,5369,1,1
3844,3850,1,3
4104,4258,1,1
3739,2381,1,1
3306,3384,1,1
1161,1113,1,1
4771,4983,1,1
4105,4260,1,1
5501,1025,1,1
1909,1795,1,3
4298,4464,1,1
1114,2173,1,1
4190,4347,1,1
1377,1311,1,1
2153,2040,1,1
2198,5482,1,1
2309,5298,1,1
2962,3151,1,1
4506,4684,1,1
3165,3524,1,1
1537,1481,1,1
5297,2554,1,1
1375,1310,1,1
3634,2390,1,1
3082,3263,1,1
2430,2614,1,1
490,457,1,1
1096,2157,1,1
3427,3524,1,1
3804,3969,1,1
5281,2551,1,1
26,62,1,1
3115,3291,1,1
4286,4568,1,1
72,89,1,1
3450,3524,1,1
3877,3880,1,1
1565,1502,1,1
5613,2438,1,1
2071 (1510),1459,0,1
1552,1490,1,1
846,833,1,1
454,406,1,1
1063,2122,1,1
4119,4273,1,1
3756,3780,1,1
235,202,1,1
4012,4025,1,2
96,46,1,1
3563,3631,1,1
2704,2819,1,1
225,191,1,1
436,430,1,1
3778,5404,1,1
3779,2458,1,1
3475,3523,1,1
2387,2586,1,1
2389,2588,1,1
5158,5444,1,1
2064,1925,1,1
1922,1823,1,1
3368,3347,1,1
3842,3845,1,1
4164,4318,1,1
2237,2258,1,1
1939,1908,1,1
71,88,1,1
266,2233,1,1
4987,4879,1,1
1133,2197,1,1
163,108,1,1
3614,3665,1,1
1744,1672,1,1
1526 (1510),1459,0,1
5130,5404,1,1
665,654,1,1
5128,5404,1,1
720,711,1,1
1411,1379,1,1
2150,2037,1,1
3446,3520,1,1
2192,1404,1,1
5377,4157,1,1
2228,1395,1,1
3123,3298,1,1
5369,4138,1,1
5187,5461,1,1
4312,4479,1,1
4273,4432,1,1
865,533,1,1
434,380,1,1
193,167,1,1
1228,1182,1,1
786,762,1,1
794,775,1,1
462,415,1,1
884,14,1,1
545,507,1,1
1118,2181,1,1
989,935,1,1
5244,2512,1,1
213,186,1,1
5366,4135,1,1
5367,4136,1,1
5467,993,1,1
2540,2679,1,1
1764,1689,1,1
2250,2292,1,1
2078,1950,1,1
1097,2166,1,1
5124,5404,1,1
366,319,1,1
3803,3809,1,1
2221,5500,1,1
5259,2528,1,2
2307,5296,1,1
3341,3427,1,1
1325,1335,1,1
3379,3390,1,1
475,443,1,1
3811,3813,1,1
4240,4395,1,1
420,397,1,1
1317,1275,1,1
1511 (1510),1459,0,1
2261,1852,1,1
3164,3271,1,1
1163,1147,1,1
1401,1368,1,1
3163,3270,1,1
1080,2143,1,1
3868,3872,1,1
2214,5496,1,1
521,477,1,1
3474,3517,1,1
2588,2729,1,1
2513,2883,1,1
1941,1826,1,1
3326,3413,1,2
1515,1462,1,1
5343,4125,1,1
3512,3572,1,1
2090,2331,1,1
18,65,1,1
1203,1164,1,1
2173,1987,1,1
37,2204,1,1
5092,5376,1,1
4632,4832,1,1
1438,2248,1,1
1571,1508,1,1
3767,3791,1,1
5100,5369,1,1
1437,1397,1,1
3173,3349,1,1
2076 (1510),1459,0,1
3440,3511,1,1
5552,1083,1,1
693,694,1,1
3585,5476,1,1
3749,3773,1,1
3303,3381,1,1
819,805,1,1
3305,3386,1,1
1116,2179,1,1
4731,4949,1,1
2310,5301,1,1
2476,2378,1,1
4973,4907,1,1
5607 (1510),1459,0,1
868,535,1,1
93,41,1,1
3687,3718,1,1
3686,3717,1,1
5132,5411,1,1
396,359,1,1
2235,1411,1,1
386,343,1,1
3004,3181,1,1
795,774,1,1
3748,2456,1,1
5372,4142,1,1
5211,2478,1,1
3542,3608,1,1
1044,2108,1,1
3056,3235,1,1
763,737,1,1
4026,4041,1,1
2757,2938,1,1
952,898,1,1
3718,3763,1,1
422,384,1,1
