vidvan,vidtot,textid,referentie
1035018,1035020,106,524
23007014,23007014,106,513
5024001,5024001,106,512
5022021,5022021,106,512
13003017,13003018,106,509
24022024,24022024,106,509
5029018,5029020,106,509
3019028,3019028,106,509
14036008,14036008,106,509
24022001,24022007,106,509
14025015,14025027,106,508
14024017,14024025,106,508
14022009,14022009,106,508
14022003,14022003,106,508
5029020,5029020,106,508
24022030,24022030,106,507
9008006,9008022,106,507
28011001,28011001,106,523
51002003,51002003,106,523
24041017,24041017,106,523
40014041,40014041,106,520
40005002,40005002,106,517
8001001,8001002,106,517
42002024,42002024,106,540
66016013,66016013,106,540
66005006,66005006,106,540
66004005,66004005,106,540
58001007,58001007,106,540
44002002,44002002,106,540
43003008,43003008,106,540
46012013,46012013,106,537
49004005,49004005,106,537
44010044,44010048,106,537
44001005,44001005,106,537
42001017,42001017,106,536
40011014,40011014,106,536
12005014,12005014,106,535
3011040,3011040,106,535
2040031,2040031,106,535
2029004,2029004,106,535
50002030,50002030,106,551
27007002,27007027,106,551
27002044,27002044,106,551
43003024,43003024,106,547
49002007,49002007,106,572
40005001,40005002,106,571
45005021,45005021,106,568
46007039,46007039,106,568
66020014,66020014,106,566
49001003,49001003,106,558
42006017,42006017,106,555
40004008,40004008,106,586
50004006,50004007,106,584
60005007,60005007,106,584
19055022,19055022,106,584
49001007,49001007,106,581
49001007,49001007,106,579
57001015,57001015,106,578
3011022,3011022,106,534
23040003,23040003,106,532
45011006,45011006,106,599
45004005,45004005,106,599
45014017,45014017,106,597
33004004,33004004,106,597
51001025,51001025,106,596
49002020,49002020,106,596
5013001,5013005,106,596
5013005,5013005,106,596
45008026,45008026,106,593
66013001,66013001,106,612
66012003,66012003,106,612
42008023,42008025,106,611
41004035,41004041,106,611
27007014,27007014,106,610
66014014,66014014,106,610
43001011,43001011,106,604
42005012,42005014,106,603
41001040,41001044,106,603
40012024,40012024,106,626
66020002,66020002,106,625
66019020,66019020,106,625
66013002,66013002,106,625
66013001,66013001,106,625
66013015,66013015,106,639
59003015,59003015,106,636
40012024,40012024,106,635
42024046,42024049,106,631
45011026,45011026,106,631
66007009,66007017,106,631
66007003,66007008,106,631
40016019,40016019,106,631
40017009,40017009,106,631
40016020,40016020,106,631
40028016,40028020,106,631
43021002,43021002,106,630
43001044,43001046,106,630
44001026,44001026,106,630
44001013,44001013,106,630
42006014,42006014,106,630
41003016,41003016,106,630
40010002,40010002,106,630
66011003,66011006,106,646
40016021,40016021,106,667
66015005,66015005,106,667
46015004,46015004,106,666
44010040,44010040,106,666
45008001,45008001,106,664
45003026,45003026,106,664
45003024,45003024,106,664
46015024,46015024,106,664
51001020,51001020,106,664
45005018,45005018,106,664
40010025,40010025,106,660
1030020,1030020,106,660
46010020,46010020,106,660
12001002,12001002,106,660
66015005,66015005,106,693
47006014,47006014,106,687
45008001,45008001,106,687
40019005,40019005,106,687
66002020,66002020,106,687
66002015,66002015,106,687
66002009,66002009,106,687
40005001,40005001,106,687
44020029,44020029,106,687
44019015,44019015,106,687
3006017,3006017,106,685
3002011,3002011,106,685
2034025,2034025,106,685
2023018,2023018,106,685
46005008,46005008,106,685
2011015,2011015,106,685
40026017,40026017,106,685
66018003,66018003,106,683
66020002,66020002,106,678
44028025,44028027,106,676
23006009,23006010,106,676
66014014,66014014,106,672
4015038,4015040,106,707
66020002,66020002,106,706
45011026,45011026,106,706
45010013,45010013,106,706
49002019,49002019,106,703
40028028,40028028,106,703
44024024,44024024,106,701
44025013,44025013,106,701
44025013,44025013,106,701
44012001,44012023,106,701
44025013,44025013,106,701
40002022,40002022,106,701
42003001,42003001,106,701
42003019,42003019,106,701
41006017,41006017,106,701
40014003,40014003,106,701
42001006,42001006,106,701
40002001,40002001,106,701
40012031,40012031,106,626
66016021,66016021,106,693
42004015,42004030,106,697
40014016,40014016,106,716
44010036,44010036,106,713
40002011,40002022,106,713
44028029,44028029,106,713
44013046,44013047,106,713
45015008,45015008,106,713
23029013,23029013,106,711
23015022,23015022,106,710
40012001,40012008,106,710
40005027,40005048,106,710
40014020,40014020,106,720
66021014,66021014,106,723
52004017,52004017,106,723
55002013,55002013,106,726
61001016,61001016,106,728
47011014,47011014,106,731
45012002,45012002,106,731
42009031,42009031,106,733
66011003,66011012,106,735
42001017,42001017,106,735
11017001,11017001,106,736
66011006,66011006,106,736
