id,vid,tekst,type
1,48001001,<div><b>vanwege mensen</b> – Of: vanuit mensen (afgevaardigd).</div>,1
2,48001001,"<div><b>niet vanwege mensen, noch door een mens</b> – 'Vanwege' geeft de reden aan dat Hij apostel zou zijn. Dit komt overeen met <a class=""l"">1:10</a>. Paulus doet het niet om mensen te behagen. Indien vertaald als 'vanuit', dan geeft het de oorsprong van zijn apostelschap aan. 'Door' verwijst naar wie hem als apostel gezonden heeft.</div>",0
3,48001001,"<div><b>noch door een mens, maar door Jezus Christus en God</b> – Paulus begint meteen zijn apostelschap te verdedigen, en weerlegt de twijfels die de Galaten erover hadden. Hij is door Jezus Christus en God afgevaardigd en zijn autoriteit heeft dus zijn oorsprong in God, niet in mensen. Als zodanig ontvingen zij hem ook eerst (<a class=""l"">4:14</a>). Ook heeft hij zijn opdracht en boodschap niet van de twaalf of van Petrus, zodat hij geen apart evangelie voor de natiën zou hebben (<a class=""l"">2:7-9</a>).</div><br><div>Voor eenzelfde opening, zie <a class=""l"">1Kor 1:1</a>; <a class=""l"">2Kor 1:1</a>; <a class=""l"">Efe 1:1</a>; <a class=""l"">Kol 1:1</a>; <a class=""l"">1Tim 1:1</a>; <a class=""l"">2Tim 1:1</a>;<br></div>",3
4,48001001,"<div><b>Die Hem heeft opgewekt</b> – Hier lezen we dat niet Christus Zichzelf, maar God Hem heeft opgewekt uit de doden. Een feit dat goed in de schrift gedocumenteerd is, zie ook <a class=""l"">Hand 2:24</a>; <a class=""l"">3:15,25</a>; <a class=""l"">10:40</a>; <a class=""l"">13:30</a>; <a class=""l"">17:31</a>; <a class=""l"">Rom 10:9</a>.</div>",6
5,48001003,"<div><b>Genade voor jullie en vrede</b> – Dit wordt wel eens uitgelegd als een standaard opening, maar daarmee doe je de waarde die Paulus' brieven aan <a class=""mw"">genade</a> en vrede geven tekort, zie voetnoot bij <a class=""dl"" name=""VOETNOTEN_47001002"">2Kor 1:2</a>.</div>",4
6,48001004,"<div><b>die zichzelf geeft</b> – Of: heeft gegeven. De werkwoordsvorm hier geeft het simpele feit, zonder informatie over tijd. De tijd moet uit de context blijken. Als het alleen verwijst naar Zijn dood en opstanding, is 'heeft gegeven' meer op zijn plaats. Als het ook Zijn huidige werk omvat is het algemene 'geeft' beter.</div>",1
7,48001004,"<div><b>de tegenwoordige boze eon</b> - De huidige <a class=""mw"">eon</a>, of het huidige tijdperk, is boosaardig. Het is het volmachtsgebied van de duisternis (<a class=""l"">Kol 1:13</a>), het is de tijd waarin de Tegenwerker de 'god van deze <a class=""mw"">eon</a>' genoemd wordt (<a class=""l"">2Kor 4:4</a>). Zie ook <a class=""l"">1Joh 5:19</a>.</div>",4
8,48001005,"<div><b>in de eonen van de eonen</b> – Of: tot in. Het woord <a class=""ghw"" name=""G_l_1467""><span class=""ncv-GH""><span class=""translit"">eis</span><span class=""Greek"">εις</span></span></a> betekent letterlijk 'naar binnen in'. </div>",1
9,48001005,"<div><b>de eonen van de eonen</b> – Een Hebreeuws spraakfiguur, net als 'Koning der koningen', wat 'de hoogste/belangrijkste Koning' betekent. Zo betekent het hier 'de belangrijkste/hoogste <a class=""mw"">eonen</a>', wat verwijst naar de komende tijdperken waarin God Zijn grote beloften aan ons en aan Zijn volk waar gaat maken. Tot in die tijdperken komt Hem de heerlijkheid toe. Deze uitdrukking staat in tegenstelling tot 'de huidige boze <a class=""mw"">eon</a>' (<a class=""l"">1:4</a>), en laat zien dat Gods plan uit verschillende grote tijdperken bestaat, zie ook het woord <a class=""ghw"" name=""G_l_122""><span class=""ncv-GH""><span class=""translit"">aiōn</span><span class=""Greek"">αιων</span></span></a>.</div>",0
10,48001006,"<div><b>dat jullie je zo snel laten overplaatsen</b> – In de andere brieven begint Paulus na de groet met dankzegging of zegen, zelfs in zijn brief aan de lastige Korinthiërs. Maar hier was de afwijking van het evangelie zo erg dat hij meteen begint met het aan de kaak stellen van het probleem en zelfs een vervloeking uitspreekt in <a class=""l"">1:9</a>. De toon is gezet.</div>",4
11,48001006,"<div><b>laten overplaatsen</b> – Dit is een werkwoordsvorm die voortgang uitdrukt, dus dat ze zich daar steeds van laten afbrengen.</div>",0
12,48001006,"<div><b>van het evangelie dat jullie roept in de genade van Christus</b> – Ze waren geroepen in <a class=""mw""></a><a class=""mw"">genade</a>, en het is ook die <a class=""mw""></a><a class=""mw"">genade</a> waar ze weer van af gebracht werden. <a class=""mw""></a><a class=""mw"">Genade</a> is de kern van het evangelie, en sluit uit dat we nog iets zouden moeten doen (<a class=""l"">Rom 11:6</a>), nog zouden moeten werken, al was het maar met de gedachte er een perfecte gelovige van te worden. Want precies die gedachte lijkt er in geslopen bij de Galaten (<a class=""l"">3:3</a>).</div>",3
13,48001006,"<div><b>naar een andersoortig evangelie</b> – 'Andersoortig', <a class=""ghw"" name=""G_l_2327""><span class=""ncv-GH""><span class=""translit"">heteron</span><span class=""Greek"">ετερον</span></span></a>, staat hier tegenover 'ander', <a class=""ghw"" name=""G_l_209""><span class=""ncv-GH""><span class=""translit"">allo</span><span class=""Greek"">αλλο</span></span></a>, in het volgende vers. Waarschijnlijk gebruikt Paulus de twee woorden om aan te geven dat de boodschap die ze zijn gaan <a class=""mw"">geloven</a> nu van een andere soort is dan wat hij ze verkondigd had, daarom was het wel andersoortig, maar niet een ander (van dezelfde soort). Het is echter opvallend dat het woord hier vertaald met 'andersoortig', <a class=""ghw"" name=""G_l_2327""><span class=""ncv-GH""><span class=""translit"">heteron</span><span class=""Greek"">ετερον</span></span></a>, elders bijna altijd gewoon 'ander' betekent, en dan in betekenis niet te onderscheiden is van <a class=""ghw"" name=""G_l_209""><span class=""ncv-GH""><span class=""translit"">allo</span><span class=""Greek"">αλλο</span></span></a>. In het oud Grieks werd het woord <a class=""ghw"" name=""G_l_2327""><span class=""ncv-GH""><span class=""translit"">heteron</span><span class=""Greek"">ετερον</span></span></a> vaak gebruikt om de ander van een paar aan te geven. Ook in dat geval blijft de boodschap: we hebben het hier over twee evangeliën, maar het evangelie waar jullie nu naar luisteren is van een hele andere soort, het is eigenlijk geen evangelie.</div>",0
