griUniekeid,id,sterretjeNodig,vertaling,beschrijving
1522,0,0,uitkiezen,
4058,0,0,grondig beproeven,
4057,0,0,wandelen,
1,0,0,Aäron,
2,0,0,Abáddon,
3,0,0,niet bezwarend,
4,0,0,Abba,
5,0,0,Abiléne,
6,0,0,Abel,
7,0,0,Abia,
8,0,0,Abjatar,
9,0,0,Abiud,
10,0,0,Abraham,
11,0,0,afgrond,
12,0,0,Achaje,
13,0,0,Achaikus,
14,0,0,ondankbaar,
15,0,0,Achaz,
16,0,0,Achim,
17,0,0,niet (met) hand gemaakt,
17,1,1,niet met handen verricht,
18,0,0,Akeldama,
19,0,0,nevel,
20,0,0,nodeloos,
21,0,0,onbruikbaar zijn,
22,0,0,onbruikbaar,
23,0,0,totdat,
23,1,1,tot,
23,2,1,tot toe,
24,0,0,kaf,
25,0,0,Adam,
26,0,0,kosteloos,
27,0,0,Addi,
28,0,0,onduidelijk,
29,0,0,zonder doel,
30,0,0,ongewisheid,
31,0,0,zuster,
32,0,0,broeder,
33,0,0,broederschap,
34,0,0,terneergedrukt zijn,
35,0,0,geen onderscheid makend,
36,0,0,onophoudelijk,
37,0,0,onophoudelijk (bw),
38,0,0,onbedorvenheid,
39,0,0,onrecht,
40,0,0,onrecht doen,
40,1,1,schade berokkenen,
41,0,0,onrechtvaardigheid,
42,0,0,onrechtvaardig,
43,0,0,ten onrechte,
44,0,0,Admin,
45,0,0,zingen,
46,0,0,onbeproefd,
47,0,0,onvervalst,
48,0,0,Adramyttium,
49,0,0,Adriatische zee,
50,0,0,onmogelijk zijn,
51,0,0,krachteloos,
52,0,0,steeds,
53,0,0,lucht,
54,0,0,gier,
55,0,0,Agabus,
56,0,0,juichen,
57,0,0,gejuich,
58,0,0,ongehuwd,
59,0,0,verontwaardigd zijn,
60,0,0,verontwaardiging,
61,0,0,liefhebben,
62,0,0,liefde,
63,0,0,geliefde,
64,0,0,het goede werken,
65,0,0,goed,
66,0,0,goed doen,
67,0,0,goed doende,
68,0,0,goeddoener,
69,0,0,goedheid,
70,0,0,goede werken(het),
71,0,0,troep,
72,0,0,zonder geslachtsregister,
73,0,0,van geringe afkomst,
74,0,0,dwingen,
75,0,0,kruik,
76,0,0,boodschap,
77,0,0,boodschappen,
78,0,0,boodschapper,
79,0,0,(in) arm nemend,
80,0,0,vishaak,
81,0,0,anker,
82,0,0,niet gevold,
83,0,0,vergissing,
84,0,0,onwetend zijn,
85,0,0,onwetendheid,
86,0,0,zonder kennis,
87,0,0,onbekend,
88,0,0,leiden,
88,1,1,meevoeren,
84,1,1,onbekend zijn,
88,2,1,meebrengen,
89,0,0,beweegreden,
90,0,0,strijd,
91,0,0,innerlijke strijd,
573,7,1,vergelden,
92,0,0,strijden,
93,0,0,markt,
94,0,0,gespuis van de markt,
95,0,0,kopen,
96,0,0,vangst,
97,0,0,ongeletterd,
98,0,0,in het weidegebied zijn,
99,0,0,vangen,
100,0,0,wilde olijfboom,
101,0,0,wild,
102,0,0,Agrippa,
103,0,0,veld,
104,0,0,waakzaam zijn,
105,0,0,waakzaamheid,
106,0,0,gevangenschap,
107,0,0,gevangen nemen,
108,0,0,gevangen wegvoeren,
109,0,0,gevangene,
110,0,0,onwaarneembaar,
111,0,0,ingetogenheid,
112,0,0,geit,
113,0,0,strand,
114,0,0,Egyptenaar,
115,0,0,Egypte,
116,0,0,Eneas,
117,0,0,loven,
118,0,0,lof,
119,0,0,raadsel,
120,0,0,Enon,
121,0,0,lof,
122,0,0,tijdperk,
123,0,0,gedurende de tijdperken,
124,0,0,onvermoed,
125,0,0,heffen,
125,1,1,wegnemen,
126,0,0,gierig,
127,0,0,gierig,
128,0,0,vuile taal,
129,0,0,schandelijk,
130,0,0,schandelijkheid,
131,0,0,schande,
132,0,0,zich schamen,
133,0,0,gevoelig zijn voor,
134,0,0,(fijn)gevoeligheid,
135,0,0,zintuig,
136,0,0,verzoek,
137,0,0,verzoeken,
138,0,0,Ethiopiër,
139,0,0,oorzaak,
139,1,1,reden,
140,0,0,incriminatie,
141,0,0,grondoorzaak,
142,0,0,geen gelegenheid hebben,
143,0,0,ongelegen,
144,0,0,argeloos,
145,0,0,doorn,
146,0,0,doornen,
147,0,0,onvruchtbaar,
148,0,0,niet af te keuren,
149,0,0,onverhuld,
150,0,0,zonder veroordeling,
151,0,0,onontbindbaar,
152,0,0,onophoudend,
153,0,0,oproer,
154,0,0,onbestendig,
155,0,0,onreinheid,
156,0,0,onrein,
157,0,0,onbedorven,
158,0,0,onwankelbaar,
159,0,0,overrijp zijn,
160,0,0,punt,
161,0,0,gehoor(de),
161,1,1,horen,
162,0,0,volgen,
163,0,0,zonder verbod,
164,0,0,onvrijwillig,
165,0,0,horen,
166,0,0,ongeremdheid,
167,0,0,onstandvastig,
168,0,0,onverdund,
169,0,0,nauwkeurigheid,
170,0,0,nauwkeurig,
171,0,0,nauwkeurig navorsen,
