id,vidBegin,Woord,type,par,cit
1,48001001,,p,1,0
2,48001003,,p,1,0
3,48001006,,p,1,0
4,48001010,,p,1,0
5,48001015,,p,1,0
6,48001018,,p,1,0
7,48002001,,p,1,0
8,48002003,,p,1,0
9,48002006,,p,1,0
10,48002011,,p,1,0
11,48002015,,p,1,0
12,48003001,,p,1,0
13,48003005,,p,1,0
14,48003010,,p,1,0
15,48003015,,p,1,0
16,48003019,,p,1,0
17,48003021,,p,1,0
18,48003023,,p,1,0
19,48003025,,p,1,0
20,48004001,,p,1,0
21,48004008,,p,1,0
22,48004012,,p,1,0
23,48004017,,p,1,0
24,48004019,,p,1,0
25,48004021,,p,1,0
26,48004028,,p,1,0
27,48005001,,p,1,0
28,48005002,,p,1,0
29,48005007,,p,1,0
30,48005011,,p,1,0
31,48005013,,p,1,0
32,48005016,,p,1,0
33,48005019,,p,1,0
34,48005022,,p,1,0
35,48006001,,p,1,0
36,48006006,,p,1,0
37,48006011,,p,1,0
38,48006017,,p,1,0
39,48006018,,p,1,0
40,49001001,,p,1,0
41,49001002,,p,1,0
42,49001003,,p,1,0
43,49001013,,p,1,0
44,49001015,,p,1,0
45,49002001,,p,1,0
46,49002011,,p,1,0
47,49002013,,p,1,0
48,49002019,,p,1,0
49,49003001,,p,1,0
50,49003014,,p,1,0
51,49003020,,p,1,0
52,49004001,,p,1,0
53,49004007,,p,1,0
55,49004015,,p,1,0
56,49004017,,p,1,0
57,49004020,,p,1,0
58,49004026,,p,1,0
59,49004030,,p,1,0
60,49004032,,p,1,0
61,49005001,,p,1,0
62,49005003,,p,1,0
64,49005015,,p,1,0
65,49005022,,p,1,0
66,49005025,,p,1,0
67,49005032,,p,1,0
68,49005033,,p,1,0
69,49006001,,p,1,0
70,49006004,,p,1,0
71,49006005,,p,1,0
72,49006009,,p,1,0
73,49006010,,p,1,0
74,49006011,,p,1,0
75,49006017,,p,1,0
76,49006018,,p,1,0
77,49006021,,p,1,0
78,49006022,,p,1,0
79,49006023,,p,1,0
80,49006024,,p,1,0
81,50001001,,p,1,0
82,50001002,,p,1,0
83,50001003,,p,1,0
84,50001012,,p,1,0
85,50001018,19,p,1,0
86,50002001,,p,1,0
87,50002005,,p,1,0
88,50002009,,p,1,0
89,50002012,,p,1,0
90,50002019,,p,1,0
91,50002025,,p,1,0
92,50003001,,p,1,0
93,50003004,,p,1,0
94,50003017,,p,1,0
95,50004001,,p,1,0
96,50004004,,p,1,0
97,50004008,,p,1,0
98,50004010,,p,1,0
99,50004014,,p,1,0
100,50004021,,p,1,0
101,50004023,,p,1,0
102,51001001,,p,1,0
103,51001002,10,p,1,0
104,51001003,,p,1,0
105,51001009,,p,1,0
106,51001018,,p,1,0
107,51001021,,p,1,0
108,51002001,,p,1,0
109,51002006,,p,1,0
110,51002008,,p,1,0
111,51002016,,p,1,0
112,51002020,,p,1,0
113,51003001,,p,1,0
114,51003005,,p,1,0
115,51003008,,p,1,0
116,51003012,,p,1,0
117,51003018,,p,1,0
118,51003020,,p,1,0
119,51003022,,p,1,0
120,51004001,,p,1,0
121,51004002,,p,1,0
122,51004007,,p,1,0
123,51004010,,p,1,0
124,51004012,,p,1,0
125,51004014,,p,1,0
127,52001001,,p,1,0
128,52001002,,p,1,0
129,52001006,,p,1,0
130,52002001,,p,1,0
131,52002009,,p,1,0
133,52002013,,p,1,0
134,52002014,,p,1,0
135,52002017,,p,1,0
136,52003001,,p,1,0
137,52003005,,p,1,0
138,52004001,,p,1,0
139,52004009,,p,1,0
140,52004013,,p,1,0
141,52005001,,p,1,0
142,52005004,,p,1,0
143,52005012,,p,1,0
144,52005023,,p,1,0
145,52005025,,p,1,0
146,52005028,,p,1,0
147,53001001,,p,1,0
148,53001002,,p,1,0
149,53001003,,p,1,0
150,53001011,,p,1,0
151,53002001,,p,1,0
152,53002006,,p,1,0
153,53002013,,p,1,0
154,53003001,,p,1,0
155,53003006,,p,1,0
156,53003016,,p,1,0
157,53003017,,p,1,0
158,55001001,,p,1,0
159,55001002,4,p,1,0
160,55001003,,p,1,0
161,55001006,,p,1,0
162,55001013,,p,1,0
163,55001016,,p,1,0
164,55002001,,p,1,0
165,55002003,,p,1,0
166,55002008,,p,1,0
167,55002011,,p,1,0
168,55002014,,p,1,0
169,55002015,,p,1,0
170,55002019,,p,1,0
171,55002020,,p,1,0
172,55002022,,p,1,0
173,55003001,,p,1,0
174,55003010,,p,1,0
175,55003014,,p,1,0
176,55003016,,p,1,0
177,55004001,,p,1,0
178,55004005,,p,1,0
179,55004009,,p,1,0
180,55004019,,p,1,0
181,55004022,,p,1,0
182,57001001,,p,1,0
183,57001003,,p,1,0
184,57001004,,p,1,0
185,57001008,,p,1,0
186,57001021,,p,1,0
187,57001023,,p,1,0
188,57001025,,p,1,0
189,48004027,5,q,0,1
190,49004008,4,q,0,1
191,54001001,,p,1,0
193,54001017,,p,1,0
194,54001018,,p,1,0
195,54002001,,p,1,0
196,54002005,,p,1,0
197,54002008,,p,1,0
198,54003001,,p,1,0
199,54003008,,p,1,0
200,54003014,,p,1,0
201,54004001,,p,1,0
202,54004009,,p,1,0
203,54005001,,p,1,0
204,54005017,,p,1,0
205,54006001,,p,1,0
207,54006010,,p,1,0
208,54006011,,p,1,0
209,54006013,,p,1,0
210,54006017,,p,1,0
211,54006020,,p,1,0
214,45003012,6,in*,0,0
215,45003012,,in,0,0
216,45003012,6,in,0,0
217,45003012,-1,in*,0,0
218,56001001,,p,1,0
219,56001004,,p,1,0
220,56001010,,p,1,0
221,56001012,,p,1,0
222,56002001,,p,1,0
223,56002009,,p,1,0
224,56002011,,p,1,0
225,56003001,,p,1,0
226,56003008,,p,1,0
227,56003012,,p,1,0
228,56003015,,p,1,0
229,54006021,10,p,1,0
230,45001001,,p,1,0
231,45001007,10,p,1,0
232,45001008,,p,1,0
233,45001013,,p,1,0
234,45001014,,p,1,0
235,45001018,,p,1,0
236,45001024,,p,1,0
237,45001026,,p,1,0
238,45002001,,p,1,0
239,45002003,,p,1,0
241,45002014,,p,1,0
242,45002017,,p,1,0
243,45002025,,p,1,0
244,45002028,,p,1,0
245,45003001,,p,1,0
246,45003004,18,q,0,1
247,45003009,,p,1,0
248,45003004,-1,in*,0,0
249,45003004,18,in,0,0
250,45003004,26,in*,0,0
251,45003004,26,in,0,0
252,45003004,-1,q*,0,0
253,45003013,,in,0,0
254,45003013,7,in*,0,0
255,45003013,7,in,0,0
256,45003013,13,in*,0,0
257,45003013,13,in,0,0
258,45003013,-1,in*,0,0
259,45003014,,in,0,0
260,45003014,-1,in*,0,0
261,45003015,,in,0,0
262,45003015,-1,in*,0,0
263,45003016,,in,0,0
264,45003016,-1,in*,0,0
265,45003017,,in,0,0
266,45003017,-1,in*,0,0
267,45003018,,in,0,0
268,45003018,-1,in*,0,0
269,45003018,-1,qml*,0,0
270,45003021,,p,1,0
271,45003029,,p,1,0
272,45004001,,p,1,0
273,45004004,,p,1,0
274,45004007,,qml,0,0
275,45004007,,in,0,0
276,45004007,-1,in*,0,0
277,45004008,,in,0,0
278,45004008,-1,in*,0,0
279,45004008,-1,qml*,0,0
280,45004013,,p,1,0
281,45004016,,p,1,0
282,45004023,,p,1,0
283,45005001,,p,1,0
284,45005003,,p,1,0
285,45005006,,p,1,0
286,45005010,,p,1,0
287,45005012,,p,1,0
288,45005015,,p,1,0
289,45005016,,p,1,0
290,45005018,,p,1,0
291,45005020,,p,1,0
292,45006001,,p,1,0
293,45006002,,p,1,0
294,45006008,,p,1,0
295,45006012,,p,1,0
296,45006015,,p,1,0
297,45006015,13,p,1,0
298,45006019,,p,1,0
299,45007001,,p,1,0
300,45007002,,p,1,0
301,45007004,,p,1,0
302,45007007,,p,1,0
303,45007013,,p,1,0
304,45007021,,p,1,0
305,45007024,,p,1,0
306,45008001,,p,1,0
307,45008005,,p,1,0
308,45008009,,p,1,0
309,45008015,,p,1,0
310,45008018,,p,1,0
311,45008026,,p,1,0
312,45008028,,p,1,0
313,45008031,,p,1,0
314,45008036,5,q,0,1
315,45008036,5,in,0,0
316,45008036,12,in*,0,0
317,45008036,12,in,0,0
318,45008036,-1,in*,0,0
319,45008036,-1,q*,0,0
320,45008038,,p,1,0
321,45009001,,p,1,0
322,45009006,,p,1,0
323,45009009,,p,1,0
324,45009014,,p,1,0
325,45009019,,p,1,0
326,45009025,8,qml,0,0
328,45009025,17,in,0,0
329,45009025,17,in*,0,0
330,45009025,-1,in*,0,0
331,45009026,,in,0,0
335,45009026,-1,in*,0,0
336,45009026,-1,qml*,0,0
337,45009029,,p,1,0
338,45009029,6,q,0,1
339,45009029,6,in,0,0
340,45009029,13,in*,0,0
341,45009029,13,in,0,0
344,45009029,-1,in*,0,0
345,45009029,-1,q*,0,0
346,45009033,4,q,0,1
347,45009033,4,in,0,0
348,45009033,15,in*,0,0
349,45009033,15,in,0,0
350,45009033,-1,in*,0,0
351,45009033,-1,q*,0,0
352,45010001,,p,1,0
353,45010005,,p,1,0
354,45010014,,p,1,0
355,45010016,11,q,0,1
356,45010016,-1,in*,0,0
357,45010018,,p,1,0
358,45010018,7,q,0,1
359,45010018,7,in,0,0
360,45010018,16,in*,0,0
361,45010018,16,in,0,0
362,45010018,-1,in*,0,0
363,45010018,-1,q*,0,0
364,45010019,13,q,0,1
365,45010019,13,in,0,0
366,45010019,22,in*,0,0
367,45010019,22,in,0,0
368,45010019,-1,in*,0,0
369,45010019,-1,q*,0,0
370,45010020,8,q,0,1
371,45010020,8,in,0,0
372,45010020,14,in*,0,0
373,45010020,14,in,0,0
374,45010020,-1,in*,0,0
375,45010020,-1,q*,0,0
376,45010021,7,q,0,1
377,45010021,7,in,0,0
378,45010021,-1,in*,0,0
379,45010021,-1,q*,0,0
380,45011001,,p,1,0
381,45011002,11,p,1,0
382,45011007,,p,1,0
383,45011009,,p,1,0
384,45011009,5,qml,0,0
385,45011009,5,in,0,0
386,45011009,17,in*,0,0
387,45011009,17,in,0,0
388,45011009,-1,in*,0,0
389,45011010,,in,0,0
390,45011010,10,in*,0,0
391,45011010,10,in,0,0
392,45011010,-1,in*,0,0
393,45011010,-1,qml*,0,0
394,45011012,,p,1,0
395,45011016,,p,1,0
396,45011019,,p,1,0
397,45011025,,p,1,0
398,45011026,10,qml,0,0
402,45011026,-1,in*,0,0
403,45011027,,in,0,0
404,45011027,9,in*,0,0
405,45011027,9,in,0,0
406,45011027,-1,in*,0,0
407,45011027,-1,qml*,0,0
408,45011029,,p,1,0
409,45011033,,p,1,0
410,45012001,,p,1,0
411,45012003,,p,1,0
412,45012009,,p,1,0
413,45012014,,p,1,0
414,45013001,,p,1,0
415,45013006,,p,1,0
416,45013008,,p,1,0
417,45013011,,p,1,0
418,45014001,,p,1,0
419,45014005,,p,1,0
420,45014010,,p,1,0
421,45014011,4,q,0,1
422,45014011,4,in,0,0
