vid,Woord,vertaalwoord,role,id
40001001,1,0,pc,1
40001001,2,2,pc,2
40001001,3,0,pc,3
40001001,4,0,pc,4
40001001,5,0,pc,5
40001001,6,0,pc,6
40001001,7,0,pc,5
40001001,8,0,pc,7
40001002,1,0,s,7
40001002,2,0,p,6138
40001002,3,7,o,9
40001002,4,0,o,16356
40001002,5,0,s,16356
40001002,6,2,,11
40001002,7,0,p,6138
40001002,8,7,o,9
40001002,9,0,o,12
40001002,10,0,s,12
40001002,11,2,,11
40001002,12,0,p,6138
40001002,13,7,o,9
40001002,14,1,o,13
40001002,15,0,o,14
40001002,16,7,o,15
40001002,17,0,o,16
40001002,18,2,o,17
40001003,1,1,s,18
40001003,2,2,,11
40001003,3,0,p,6138
40001003,4,7,o,9
40001003,5,0,o,19
40001003,6,0,o,14
40001003,7,7,o,9
40001003,8,0,o,20
40001003,9,0,adv,21
40001003,10,7,adv,22
40001003,11,0,adv,23
40001003,12,0,s,19
40001003,13,2,,11
40001003,14,0,p,6138
40001003,15,7,o,9
40001003,16,0,o,24
40001003,17,0,s,24
40001003,18,2,,11
40001003,19,0,p,6138
40001003,20,7,o,9
40001003,21,0,o,25
40001004,1,0,s,25
40001004,2,2,,11
40001004,3,0,p,6138
40001004,4,7,o,9
40001004,5,0,o,26
40001004,6,0,s,26
40001004,7,2,,11
40001004,8,0,p,6138
40001004,9,7,o,9
40001004,10,0,o,27
40001004,11,0,s,27
40001004,12,2,,11
40001004,13,0,p,6138
40001004,14,7,o,9
40001004,15,0,o,28
40001005,1,0,s,28
40001005,2,2,,11
40001005,3,0,p,6138
40001005,4,7,o,9
40001005,5,0,o,29
40001005,6,0,adv,21
40001005,7,7,adv,22
40001005,8,0,adv,30
40001005,9,0,s,29
40001005,10,2,,11
40001005,11,0,p,6138
40001005,12,7,o,9
40001005,13,0,o,31
40001005,14,0,adv,21
40001005,15,7,adv,22
40001005,16,0,adv,32
40001005,17,0,s,31
40001005,18,2,,11
40001005,19,0,p,6138
40001005,20,7,o,9
40001005,21,0,o,33
40001006,1,0,s,33
40001006,2,2,,11
40001006,3,0,p,6138
40001006,4,7,o,9
40001006,5,0,o,6
40001006,6,0,o,9
40001006,7,0,o,34
40001006,8,0,s,6
40001006,9,2,,11
40001006,10,0,p,6138
40001006,11,7,o,9
40001006,12,0,o,35
40001006,13,0,adv,21
40001006,14,0,adv,22
40001006,15,7,adv,36
40001006,16,0,adv,37
40001007,1,0,s,38
40001007,2,2,,11
40001007,3,0,p,6138
40001007,4,7,o,9
40001007,5,0,o,39
40001007,6,0,s,39
40001007,7,2,,11
40001007,8,0,p,6138
40001007,9,7,o,9
40001007,10,0,o,40
40001007,11,0,s,40
40001007,12,2,,11
40001007,13,0,p,6138
40001007,14,7,o,9
40001007,15,0,o,41
40001008,1,0,s,41
40001008,2,2,,11
40001008,3,0,p,6138
40001008,4,7,o,9
40001008,5,0,o,42
40001008,6,0,s,42
40001008,7,2,,11
40001008,8,0,p,6138
40001008,9,7,o,9
40001008,10,0,o,43
40001008,11,0,s,43
40001008,12,2,,11
40001008,13,0,p,6138
40001008,14,7,o,9
40001008,15,0,o,44
40001009,1,0,s,45
40001009,2,2,,11
40001009,3,0,p,6138
40001009,4,7,o,9
40001009,5,0,o,46
40001009,6,0,s,46
40001009,7,2,,11
40001009,8,0,p,6138
40001009,9,7,o,9
40001009,10,0,o,47
40001009,11,0,s,47
40001009,12,2,,11
40001009,13,0,p,6138
40001009,14,7,o,9
40001009,15,0,o,48
40001010,1,0,s,49
40001010,2,2,,11
40001010,3,0,p,6138
40001010,4,7,o,9
40001010,5,0,o,50
40001010,6,0,s,51
40001010,7,2,,11
40001010,8,0,p,6138
40001010,9,7,o,9
40001010,10,0,o,52
40001010,11,0,s,52
40001010,12,2,,11
40001010,13,0,p,6138
40001010,14,7,o,9
40001010,15,0,o,53
40001011,1,0,s,54
40001011,2,2,,11
40001011,3,0,p,6138
40001011,4,7,o,9
40001011,5,0,o,55
40001011,6,0,o,14
40001011,7,7,o,15
40001011,8,0,o,16
40001011,9,2,o,17
40001011,10,0,adv,56
40001011,11,0,adv,22
40001011,12,0,adv,57
40001011,13,0,adv,58
40001012,1,0,adv,59
40001012,2,2,,11
40001012,3,0,adv,60
40001012,4,0,adv,61
40001012,5,0,adv,58
40001012,6,0,s,62
40001012,7,0,p,6138
40001012,8,7,o,9
40001012,9,0,o,63
40001012,10,0,s,63
40001012,11,0,,11
40001012,12,0,p,6138
40001012,13,7,o,9
40001012,14,0,o,64
40001013,1,0,s,64
40001013,2,2,,11
40001013,3,0,p,6138
40001013,4,7,o,9
40001013,5,0,o,65
40001013,6,0,s,65
40001013,7,2,,11
40001013,8,0,p,6138
40001013,9,7,o,9
40001013,10,0,o,66
40001013,11,0,s,66
40001013,12,2,,11
40001013,13,0,p,6138
40001013,14,7,o,9
40001013,15,0,o,67
40001014,1,0,s,67
40001014,2,2,,11
40001014,3,0,p,6138
40001014,4,7,o,9
40001014,5,0,o,68
40001014,6,0,s,68
40001014,7,2,,11
40001014,8,0,p,6138
40001014,9,7,o,9
40001014,10,0,o,69
40001014,11,0,s,69
40001014,12,2,,11
40001014,13,0,p,6138
40001014,14,7,o,9
40001014,15,0,o,70
40001015,1,0,s,70
40001015,2,2,,11
40001015,3,0,p,6138
40001015,4,7,o,9
40001015,5,0,o,71
40001015,6,0,s,71
40001015,7,2,,11
40001015,8,0,p,6138
40001015,9,7,o,9
40001015,10,0,o,72
40001015,11,0,s,72
40001015,12,2,,11
40001015,13,0,p,6138
40001015,14,7,o,9
40001015,15,0,o,12
40001016,1,0,s,12
40001016,2,2,,11
40001016,3,0,p,6138
40001016,4,7,o,9
40001016,5,0,o,73
40001016,6,0,o,9
40001016,7,0,o,74
40001016,8,0,o,75
40001016,9,0,adv,76
40001016,10,0,adv,77
40001016,11,0,p,9429
40001016,12,0,s,79
40001016,13,1,s,80
40001016,14,2,p,81
40001016,15,0,pc,82
40001017,1,1,s,83
40001017,2,0,,84
40001017,3,0,s,85
40001017,4,0,s,86
40001017,5,0,s,87
40001017,6,0,s,7
40001017,7,0,s,88
40001017,8,0,s,6
40001017,9,0,pc,86
40001017,10,0,pc,89
40001017,11,0,,14
40001017,12,0,s,87
40001017,13,0,s,6
40001017,14,0,s,88
40001017,15,0,s,22
40001017,16,0,s,57
40001017,17,0,s,58
40001017,18,0,pc,86
40001017,19,0,pc,89
40001017,20,0,,14
40001017,21,0,s,87
40001017,22,0,s,22
40001017,23,0,s,57
40001017,24,0,s,58
40001017,25,0,s,88
40001017,26,7,s,36
40001017,27,0,s,4
40001017,28,0,pc,86
40001017,29,0,pc,89
40001018,1,7,s,36
40001018,2,2,,11
40001018,3,0,s,90
