parsT,pars,vv,aspect,tijd,toestand,vorm,modus,persoon,naamval,getal,geslacht,extra
A-APF,A-APF,A,,,,,,,A,P,F,
A-APF-C,A-APF-C,A,,,,,,,A,P,F,C
A-APF-S,A-APF-S,A,,,,,,,A,P,F,S
A-APM,A-APM,A,,,,,,,A,P,M,
A-APM-C,A-APM-C,A,,,,,,,A,P,M,C
A-APM-S,A-APM-S,A,,,,,,,A,P,M,S
A-APN,A-APN,A,,,,,,,A,P,N,
A-APN-C,A-APN-C,A,,,,,,,A,P,N,C
A-APN-S,A-APN-S,A,,,,,,,A,P,N,S
A-ASF,A-ASF,A,,,,,,,A,S,F,
A-ASF-C,A-ASF-C,A,,,,,,,A,S,F,C
A-ASF-N,A-ASF-N,A,,,,,,,A,S,F,N
A-ASF-S,A-ASF-S,A,,,,,,,A,S,F,S
A-ASM,A-ASM,A,,,,,,,A,S,M,
A-ASM-C,A-ASM-C,A,,,,,,,A,S,M,C
A-ASM-N,A-ASM-N,A,,,,,,,A,S,M,N
A-ASM-S,A-ASM-S,A,,,,,,,A,S,M,S
A-ASN,A-ASN,A,,,,,,,A,S,N,
A-ASN-C,A-ASN-C,A,,,,,,,A,S,N,C
A-ASN-N,A-ASN-N,A,,,,,,,A,S,N,N
A-ASN-S,A-ASN-S,A,,,,,,,A,S,N,S
A-DPF,A-DPF,A,,,,,,,D,P,F,
A-DPF-S,A-DPF-S,A,,,,,,,D,P,F,S
A-DPM,A-DPM,A,,,,,,,D,P,M,
A-DPM-C,A-DPM-C,A,,,,,,,D,P,M,C
A-DPM-S,A-DPM-S,A,,,,,,,D,P,M,S
A-DPN,A-DPN,A,,,,,,,D,P,N,
A-DPN-S,A-DPN-S,A,,,,,,,D,P,N,S
A-DSF,A-DSF,A,,,,,,,D,S,F,
A-DSF-C,A-DSF-C,A,,,,,,,D,S,F,C
A-DSF-S,A-DSF-S,A,,,,,,,D,S,F,S
A-DSM,A-DSM,A,,,,,,,D,S,M,
A-DSM-C,A-DSM-C,A,,,,,,,D,S,M,C
A-DSM-N,A-DSM-N,A,,,,,,,D,S,M,N
A-DSM-S,A-DSM-S,A,,,,,,,D,S,M,S
A-DSN,A-DSN,A,,,,,,,D,S,N,
A-DSN-C,A-DSN-C,A,,,,,,,D,S,N,C
A-DSN-N,A-DSN-N,A,,,,,,,D,S,N,N
