id,grieks,translit,translitz,nedS,nedI,nedSz,nedIz,strong,CGTparsing,CGTparsingT,CGTparsingN,CGTparsingTN,griUniekeid,bijvolgende,samen
1,βιβλος,biblos,biblos,BOEKROL,boekrol,BOEKROL,boekrol,976,N-NSF,N-NSF,N-NVE,N-NVE,924,NULL,NULL
2,γενεσεως,geneseōs,geneseos,<i>van</i>-GEWORDing,<i>van</i> wording,van-GEWORDing,van wording,1078,N-GSF,N-GSF,N-GVE,N-GVE,2141,NULL,NULL
3,ιησου,iēsou,iesou,<i>van</i>-JAHWE+is+HULP,<i>van</i> Jezus,van-JAHWE+is+HULP,van Jezus,2424,N-GSM,N-GSM,N-GME,N-GME,2609,NULL,NULL
4,χριστου,k<sup>h</sup>ristou,khristou,geZALFde,Christus,geZALFde,Christus,5547,N-GSM,N-GSM,N-GME,N-GME,1078,NULL,NULL
5,υιου,<sup>h</sup>uiou,huiou,ZOON,zoon,ZOON,zoon,5207,N-GSM,N-GSM,N-GME,N-GME,2474,NULL,NULL
6,δαυειδ,daueid,daueid,geLIEFDE,David,geLIEFDE,David,1138,N-PRI,N-PRI,N-NAE,N-NAE,1112,NULL,NULL
7,αβρααμ,abraam,abraam,ABRAHAM,Abraham,ABRAHAM,Abraham,11,N-PRI,N-PRI,N-NAE,N-NAE,10,NULL,NULL
9,τον,ton,ton,DE/HET,de/het,DE/HET,de/het,3588,T-ASM,T-ASM,T-AME,T-AME,2380,NULL,NULL
11,δε,de,de,ECHTER,echter,ECHTER,echter,1161,CONJ,CONJ,VOEG,VOEG,1113,NULL,NULL
12,ιακωβ,iakōb,iakob,JAKOB,Jakob,JAKOB,Jakob,2384,N-PRI,N-PRI,N-NAE,N-NAE,2583,NULL,NULL
13,ιουδαν,ioudan,ioudan,JUDA,Juda,JUDA,Juda,2455,N-ASM,N-ASM,N-AME,N-AME,2644,NULL,NULL
14,και,kai,kai,EN,en,EN,en,2532,CONJ,CONJ,VOEG,VOEG,2668,NULL,NULL
15,τους,tous,tous,DE/HET,de,DE/HET,de,3588,T-APM,T-APM,T-AMM,T-AMM,2380,NULL,NULL
16,αδελφους,adelp<sup>h</sup>ous,adelphous,GELIJKTIJDIG-BAARMOEDER-<i>s</i>,broeder<i>s</i>,GELIJKTIJDIG-BAARMOEDER-s,broeders,80,N-APM,N-APM,N-AMM,N-AMM,32,NULL,NULL
17,αυτου,autou,autou,<i>van</i>-ZELFDE,<i>van</i> zelf,van-ZELFDE,van zelf,846,P-GSM,P-GSM,P-GME,P-GME,833,NULL,NULL
