parsT,pars,vv,binjan,aspect,tijd,toestand,stam,vorm,modus,persoon,geslacht,getal,status,extra
N-VEA,N-VEA,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,A,NULL
PREP,PREP,PREP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N-VEC,N-VEC,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,C,NULL
W-Qa-Pa-MEA,W-GGGAD-MEA,W,Qa,Pa,G,G,G,A,D,NULL,M,E,A,NULL
W-Qa-Pa-MEC,W-GGGAD-MEC,W,Qa,Pa,G,G,G,A,D,NULL,M,E,C,NULL
W-Qa-Pa-MMC,W-GGGAD-MMC,W,Qa,Pa,G,G,G,A,D,NULL,M,M,C,NULL
W-Qa-Im-2ME,W-GGGAG-2ME,W,Qa,Im,G,G,G,A,G,2,M,E,NULL,NULL
W-Qa-In,W-GGGAO,W,Qa,In,G,G,G,A,O,NULL,NULL,NULL,NULL,NULL
W-Ni-Po-MEA,W-GGGOD-MEA,W,Ni,Po,G,G,G,O,D,NULL,M,E,A,NULL
W-Ni-In,W-GGGOO,W,Ni,In,G,G,G,O,O,NULL,NULL,NULL,NULL,NULL
W-Pi-Im-2ME,W-GGVAG-2ME,W,Pi,Im,G,G,V,A,G,2,M,E,NULL,NULL
W-Pi-Ia,W-GGVAO,W,Pi,Ia,G,G,V,A,O,NULL,NULL,NULL,NULL,NULL
W-Qa-Pf-1OE,W-GHGAA-1OE,W,Qa,Pf,G,H,G,A,A,1,O,E,NULL,NULL
W-Qa-Pf-2ME,W-GHGAA-2ME,W,Qa,Pf,G,H,G,A,A,2,M,E,NULL,NULL
W-Qa-Pf-3ME,W-GHGAA-3ME,W,Qa,Pf,G,H,G,A,A,3,M,E,NULL,NULL
W-Ni-Pf-2VE,W-GHGOA-2VE,W,Ni,Pf,G,H,G,O,A,2,V,E,NULL,NULL
W-Ni-Pf-3OM,W-GHGOA-3OM,W,Ni,Pf,G,H,G,O,A,3,O,M,NULL,NULL
W-Pi-Pf-2ME,W-GHVAA-2ME,W,Pi,Pf,G,H,V,A,A,2,M,E,NULL,NULL
W-Qa-Ip-3ME,W-GOGAA-3ME,W,Qa,Ip,G,O,G,A,A,3,M,E,NULL,NULL
W-Ni-Ip-3MM,W-GOGOA-3MM-N,W,Ni,Ip,G,O,G,O,A,3,M,M,NULL,N
W-Qa-Ic-3ME,W-VGGAA-3ME,W,Qa,Ic,V,G,G,A,A,3,M,E,NULL,NULL
N-MMA,N-MMA,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,A,NULL
N-MMC,N-MMC,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,C,NULL
T,T,T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N-MMA,N-MMA-L,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,M,A,L
VOEG,VOEG,VOEG,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
N-VEA,N-VEA-P,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,A,P
N-VEA,N-VEA-L,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,A,L
N-VEC,N-VEC-L,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,C,L
N-VMA,N-VMA,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,M,A,NULL
N-VMC,N-VMC,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,M,C,NULL
W-Ni-Po-VEA,W-GGGOD-VEA,W,Ni,Po,G,G,G,O,D,NULL,V,E,A,NULL
W-Ni-Pf-2ME,W-GHGOA-2ME,W,Ni,Pf,G,H,G,O,A,2,M,E,NULL,NULL
W-Ni-Pf-1OE,W-GHGOA-1OE,W,Ni,Pf,G,H,G,O,A,1,O,E,NULL,NULL
W-Ni-Pf-3ME,W-GHGOA-3ME,W,Ni,Pf,G,H,G,O,A,3,M,E,NULL,NULL
W-Ni-Pf-3VE,W-GHGOA-3VE,W,Ni,Pf,G,H,G,O,A,3,V,E,NULL,NULL
W-Qa-Ia,W-GGGAO,W,Qa,Ia,G,G,G,A,O,NULL,NULL,NULL,NULL,NULL
W-Qa-Ic-1OE,W-VGGAA-1OE,W,Qa,Ic,V,G,G,A,A,1,O,E,NULL,NULL
W-Qa-Ic-1OM,W-VGGAA-1OM,W,Qa,Ic,V,G,G,A,A,1,O,M,NULL,NULL
W-Qa-Ic-2ME,W-VGGAA-2ME,W,Qa,Ic,V,G,G,A,A,2,M,E,NULL,NULL
W-Qa-Ic-2MM,W-VGGAA-2MM,W,Qa,Ic,V,G,G,A,A,2,M,M,NULL,NULL
W-Qa-Ic-2VE,W-VGGAA-2VE,W,Qa,Ic,V,G,G,A,A,2,V,E,NULL,NULL
W-Qa-Ic-3MM,W-VGGAA-3MM,W,Qa,Ic,V,G,G,A,A,3,M,M,NULL,NULL
W-Qa-Ic-3VE,W-VGGAA-3VE,W,Qa,Ic,V,G,G,A,A,3,V,E,NULL,NULL
W-Qa-Ic-3VM,W-VGGAA-3VM,W,Qa,Ic,V,G,G,A,A,3,V,M,NULL,NULL
W-Qa-Im-2MM,W-GGGAG-2MM,W,Qa,Im,G,G,G,A,G,2,M,M,NULL,NULL
W-Qa-Im-2VE,W-GGGAG-2VE,W,Qa,Im,G,G,G,A,G,2,V,E,NULL,NULL
W-Qa-Ip-1OE,W-GOGAA-1OE,W,Qa,Ip,G,O,G,A,A,1,O,E,NULL,NULL
W-Qa-Ip-1OM,W-GOGAA-1OM,W,Qa,Ip,G,O,G,A,A,1,O,M,NULL,NULL
W-Qa-Ip-2ME,W-GOGAA-2ME,W,Qa,Ip,G,O,G,A,A,2,M,E,NULL,NULL
W-Qa-Ip-2MM,W-GOGAA-2MM,W,Qa,Ip,G,O,G,A,A,2,M,M,NULL,NULL
W-Qa-Ip-2MM,W-GOGAA-2MM-N,W,Qa,Ip,G,O,G,A,A,2,M,M,NULL,N
W-Qa-Ip-2VE,W-GOGAA-2VE,W,Qa,Ip,G,O,G,A,A,2,V,E,NULL,NULL
W-Qa-Ip-3MM,W-GOGAA-3MM,W,Qa,Ip,G,O,G,A,A,3,M,M,NULL,NULL
W-Qa-Ip-3VE,W-GOGAA-3VE,W,Qa,Ip,G,O,G,A,A,3,V,E,NULL,NULL
W-Qa-Ip-3VM,W-GOGAA-3VM,W,Qa,Ip,G,O,G,A,A,3,V,M,NULL,NULL
W-Qa-Ju-2ME,W-GGGAW-2ME,W,Qa,Ju,G,G,G,A,W,2,M,E,NULL,NULL
W-Qa-Ju-2MM,W-GGGAW-2MM,W,Qa,Ju,G,G,G,A,W,2,M,M,NULL,NULL
W-Qa-Ju-3ME,W-GGGAW-3ME,W,Qa,Ju,G,G,G,A,W,3,M,E,NULL,NULL
W-Qa-Ju-3MM,W-GGGAW-3MM,W,Qa,Ju,G,G,G,A,W,3,M,M,NULL,NULL
W-Qa-Ju-3VE,W-GGGAW-3VE,W,Qa,Ju,G,G,G,A,W,3,V,E,NULL,NULL
W-Qa-Ju-3VM,W-GGGAW-3VM,W,Qa,Ju,G,G,G,A,W,3,V,M,NULL,NULL
W-Qa-Pa-VEA,W-GGGAD-VEA,W,Qa,Pa,G,G,G,A,D,NULL,V,E,A,NULL
W-Qa-Pf-1OM,W-GHGAA-1OM,W,Qa,Pf,G,H,G,A,A,1,O,M,NULL,NULL
W-Qa-Pf-2MM,W-GHGAA-2MM,W,Qa,Pf,G,H,G,A,A,2,M,M,NULL,NULL
W-Qa-Pf-2VE,W-GHGAA-2VE,W,Qa,Pf,G,H,G,A,A,2,V,E,NULL,NULL
W-Qa-Pf-3OM,W-GHGAA-3OM,W,Qa,Pf,G,H,G,A,A,3,O,M,NULL,NULL
W-Qa-Pf-3VE,W-GHGAA-3VE,W,Qa,Pf,G,H,G,A,A,3,V,E,NULL,NULL
N-MEA,N-MEA,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,A,NULL
N-MEC,N-MEC,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,C,NULL
W-Qa-Ki-3ME,WO-GHGAA-3ME,W,Qa,Ki,G,H,G,A,A,3,M,E,NULL,NULL
W-Pi-Ip-3ME,W-GOVAA-3ME,W,Pi,Ip,G,O,V,A,A,3,M,E,NULL,NULL
W-Pi-Pa-VEA,W-GGVAD-VEA,W,Pi,Pa,G,G,V,A,D,NULL,V,E,A,NULL
E-OEA,E-OEA,E,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,A,NULL
W-Hi-Pf-2ME,W-GHCAA-2ME,W,Hi,Pf,G,H,C,A,A,2,M,E,NULL,NULL
W-Hi-Pf-3ME,W-GHCAA-3ME,W,Hi,Pf,G,H,C,A,A,3,M,E,NULL,NULL
W-Ni-Ic-3ME,W-VGGOA-3ME,W,Ni,Ic,V,G,G,O,A,3,M,E,NULL,NULL
W-Ni-Ip-3ME,W-GOGOA-3ME,W,Ni,Ip,G,O,G,O,A,3,M,E,NULL,NULL
W-Qa-Co-1OE,W-GGGAV-1OE,W,Qa,Co,G,G,G,A,V,1,O,E,NULL,NULL
W-Qa-Ic-1OE,W-VGGAA-1OE-P,W,Qa,Ic,V,G,G,A,A,1,O,E,NULL,P
W-Qa-Pa-MMA,W-GGGAD-MMA,W,Qa,Pa,G,G,G,A,D,NULL,M,M,A,NULL
W-Qa-Pa-VMA,W-GGGAD-VMA,W,Qa,Pa,G,G,G,A,D,NULL,V,M,A,NULL
W-Qa-Ap-1OE,WO-GVGAA-1OE,W,Qa,Ap,G,V,G,A,A,1,O,E,NULL,NULL
W-Qa-Ap-3ME,WO-GVGAA-3ME,W,Qa,Ap,G,V,G,A,A,3,M,E,NULL,NULL
W-Qa-Pp-MEA,W-GGGPD-MEA,W,Qa,Pp,G,G,G,P,D,NULL,M,E,A,NULL
W-Hi-Co-1OE,W-GGCAV-1OE,W,Hi,Co,G,G,C,A,V,1,O,E,NULL,NULL
W-Hi-Ic-3ME,W-VGCAA-3ME,W,Hi,Ic,V,G,C,A,A,3,M,E,NULL,NULL
W-Hi-Ic-3MM,W-VGCAA-3MM,W,Hi,Ic,V,G,C,A,A,3,M,M,NULL,NULL
W-Hi-Im-2ME,W-GGCAG-2ME,W,Hi,Im,G,G,C,A,G,2,M,E,NULL,NULL
W-Hi-Im-2VE,W-GGCAG-2VE,W,Hi,Im,G,G,C,A,G,2,V,E,NULL,NULL
W-Hi-In,W-GGCAO,W,Hi,In,G,G,C,A,O,NULL,NULL,NULL,NULL,NULL
W-Hi-Ip-1OE,W-GOCAA-1OE,W,Hi,Ip,G,O,C,A,A,1,O,E,NULL,NULL
W-Hi-Ip-2ME,W-GOCAA-2ME,W,Hi,Ip,G,O,C,A,A,2,M,E,NULL,NULL
W-Hi-Ip-3ME,W-GOCAA-3ME,W,Hi,Ip,G,O,C,A,A,3,M,E,NULL,NULL
W-Hi-Pa-MEA,W-GGCAD-MEA,W,Hi,Pa,G,G,C,A,D,NULL,M,E,A,NULL
W-Hi-Pf-1OE,W-GHCAA-1OE,W,Hi,Pf,G,H,C,A,A,1,O,E,NULL,NULL
W-Ho-Pf-2ME,W-GHCPA-2ME,W,Ho,Pf,G,H,C,P,A,2,M,E,NULL,NULL
W-Ho-Pf-3ME,W-GHCPA-3ME,W,Ho,Pf,G,H,C,P,A,3,M,E,NULL,NULL
W-Ho-Pp-MEA,W-GGCPD-MEA,W,Ho,Pp,G,G,C,P,D,NULL,M,E,A,NULL
W-Hp-Co-1OM,W-GGVRV-1OM,W,Hp,Co,G,G,V,R,V,1,O,M,NULL,NULL
W-Hp-Ic-3MM,W-VGVRA-3MM,W,Hp,Ic,V,G,V,R,A,3,M,M,NULL,NULL
W-Hp-Ip-1OM,W-GOVRA-1OM,W,Hp,Ip,G,O,V,R,A,1,O,M,NULL,NULL
W-Hp-Ip-2MM,W-GOVRA-2MM,W,Hp,Ip,G,O,V,R,A,2,M,M,NULL,NULL
W-Ni-Ia,W-GGGOO,W,Ni,Ia,G,G,G,O,O,NULL,NULL,NULL,NULL,NULL
W-Ni-Ic-1OE,W-VGGOA-1OE,W,Ni,Ic,V,G,G,O,A,1,O,E,NULL,NULL
W-Ni-Ki-3ME,WO-GHGOA-3ME,W,Ni,Ki,G,H,G,O,A,3,M,E,NULL,NULL
W-Ni-Ic-3MM,W-VGGOA-3MM,W,Ni,Ic,V,G,G,O,A,3,M,M,NULL,NULL
W-Ni-Ki-3MM,WO-GHGOA-3MM,W,Ni,Ki,G,H,G,O,A,3,M,M,NULL,NULL
W-Ni-Im-2ME,W-GGGOG-2ME,W,Ni,Im,G,G,G,O,G,2,M,E,NULL,NULL
W-Ni-Ip-1OE,W-GOGOA-1OE,W,Ni,Ip,G,O,G,O,A,1,O,E,NULL,NULL
W-Ni-Ip-3MM,W-GOGOA-3MM,W,Ni,Ip,G,O,G,O,A,3,M,M,NULL,NULL
W-Ni-Ip-3VE,W-GOGOA-3VE,W,Ni,Ip,G,O,G,O,A,3,V,E,NULL,NULL
W-Ni-Ju-3ME,W-GGGOW-3ME,W,Ni,Ju,G,G,G,O,W,3,M,E,NULL,NULL
W-Ni-Ju-3MM,W-GGGOW-3MM,W,Ni,Ju,G,G,G,O,W,3,M,M,NULL,NULL
W-Pq-Pf-3OM,W-GHGPA-3OM,W,Pq,Pf,G,H,G,P,A,3,O,M,NULL,NULL
W-Qa-Co-1OM,W-GGGAV-1OM,W,Qa,Co,G,G,G,A,V,1,O,M,NULL,NULL
W-Qa-Im-2VM,W-GGGAG-2VM,W,Qa,Im,G,G,G,A,G,2,V,M,NULL,NULL
W-Qa-Ki-1OE,WO-GHGAA-1OE,W,Qa,Ki,G,H,G,A,A,1,O,E,NULL,NULL
