vid,tekst
40012046,Zijn moeder en broeders
40012038,Een teken waarnemen
40012022,Jezus en de farizeeën en schriftgeleerden
40012015,Zoals uitgesproken door Jesaja
40012001,Aren plukken op de sabbat
40012009,Een genezing op de sabbat
40011025,Niemand erkent de Vader tenzij door de Zoon
40011002,Jezus en Johannes
40011016,Deze generatie vergeleken
40010001,Afvaardiging van de twaalf leerlingen
40009035,De oogst is groot
40009018,De opwekking van een meisje
40009027,Genezingen
40009014,Het vasten
40009009,Matteüs en de tollenaren
40009001,De autoriteit van de Mensenzoon
40008028,Twee demonisch bezetenen
40008023,Een beving in de zee
40008018,Het volgen van Jezus
40008014,Genezingen
40008005,Een hoofdman in Kafarnaüm
40008001,Genezing van iemand met een huidziekte
40007028,De scharen verwonderen zich
40007024,Een verstandig man en een dwaas man
40007013,Binnenkomen in het koninkrijk van de hemelen
40007007,Verzoek en het zal gegeven worden
40007001,Oordeel niet
40006025,Wees niet bezorgd
40006019,Schatten in de hemel
40006016,Het vasten
40006005,Het bidden
40006001,Het acht geven op de rechtvaardigheid en aalmoezen
40005017,De wet en de profeten
40005013,Het zout van de aarde en het licht van de wereld
40005001,Gelukkig
40004023,Grote scharen volgen Hem
40004018,Jezus roept achter Hem aan
40004012,Jezus begint te verkondigen
40004001,Jezus naar de woestijn om uitgeprobeerd te worden
40003013,Jezus komt naar Johannes om gedoopt te worden
40003001,Johannes de Doper
40002019,Het binnenkomen in Israël en Nazaret
40002013,De vlucht naar Egypte – Het ombrengen van de jongens in Betlehem
40002001,De magiërs vanuit het oosten
40001018,De geboorte van Jezus Christus
40001001,De afstamming van Jezus Christus
40013001,De parabel van de zaaier
40013010,Waarom spreekt Jezus in parabelen?
40013018,Uitleg van de parabel van de zaaier
40013024,Andere parabelen
40013036,Ophelderen van de parabel van de dolik van het veld
40013044,Andere parabelen
40013053,Jezus in zijn vaderstad
40014001,Johannes de Doper onthoofd
40014013,Verzadiging van de menigten
40014022,Jezus wandelend over de zee
40014034,In Gennesaret
40015001,Jezus en de schriftgeleerden en farizeeën
40015010,Wat ontwijdt
40015021,De Kananese vrouw
40015029,Verzadiging van de schare
40016001,Ten toon spreiden van een teken
40016005,De zuurdesem van de farizeeën en sadduceeën
40016013,Wie is de Mensenzoon
40016021,Het tonen van het lijden
40017001,Een stem uit de wolk
40017014,Een ongelovige generatie
40017022,De mensenzoon zal overgegeven worden
40017024,Een stater in de mond van een vis
40018001,De grootste in het koninkrijk van de hemelen
40018012,Het verdwaalde schaap
40018015,Een broeder aantonen verkeerd te zitten
40018021,Het vergeven van een broeder
40019001,Het laten gaan van je vrouw
40019013,Jezus legt de kinderen de handen op
40019016,De jongeling met veel verworven spullen
40019027,Achterlaten omwille van Jezus
40020001,De vergelijking van de werkers in de wijngaard
40020017,Omhoog naar Jeruzalem
40020020,Gekomen om te dienen
40020029,Twee blinden
40021001,Binnenkomen in Jeruzalem
40021012,Jezus komt de gewijde plaats binnen
40021018,De uitdroging van de vijgenboom
40021023,"Gesprek met de hogepriesters, oudsten en farizeeën"
40021028,De parabel van de twee kinderen
40021033,De parabel van de pachters van een wijngaard
40022001,De parabel van de bruiloftsfeesten van een koning
40022015,Hoofdelijke belasting betalen
40022023,De sadduceeërs en de opstanding
40022034,Het grote gebod
40022041,Zoon van David en zijn Heer
40023001,Wee de schriftgeleerden en farizeeën
40024001,Zijn aanwezigheid en de afsluiting van het tijdperk
40025001,De tien maagden
40025014,De talenten
40025031,De Mensenzoon en de volken
40026001,De Mensenzoon overgegeven om gekruisigd te worden
40026006,Jezus overgoten met zeer kostbare mirre
40026017,Het Pascha eten
40026026,Het brood en de beker
40026036,Getsemane
40026047,Jezus gegrepen
40026057,Valse getuigen
40026069,Jezus verloochend
40027001,Pontius Pilatus
40027011,Jezus of Barabbas
40027027,Het spotten met Jezus
40027033,Kruisiging
40027045,Jezus laat de geest
40027057,De grafkamer
40027062,Verzegeling van het graf
40028001,Opgewekt vanuit de doden
40028011,Beraadslaging van hogepriesters met de oudsten
40028016,De leerlingen naar de natiën
41001001,Johannes de Dopende
41001009,Gedoopt door Johannes en het uitgeprobeerd worden
41001014,Jezus roept achter Hem aan in Galilea
41001021,In de synagoge in Kafarnaüm
41001029,In het woonhuis van Simon en genezingen
41001040,Genezing van een aan een huidziekte lijdende
41002001,De genezing van een verlamde
41002013,Levi volgt Jezus
41002018,Het vasten
41002023,Aren plukken op de sabbat
41003001,Een genezing op de sabbat
41003007,Jezus en de onreine geesten
41003013,De twaalf afgevaardigden
41003019,Jezus en Beëlzebul
41003031,Zijn moeder en Zijn broeders en Zijn zusters
41004001,De parabel van de zaaier
41004021,Bekijk wat jullie horen
41004026,Het koninkrijk van God
41004035,Een grote stormwind op de zee
41005001,Een mens met een onreine geest
41005021,Het dochtertje van Jaïrus en de vrouw met bloedvloeiingen
41006001,Vele hoorders in Zijn vaderstad verstrikt in Hem
41006006,De afvaardiging van de twaalf
41006014,Johannes de Dopende onthoofd
41006030,De afgevaardigden verzamelen zich
41006033,De verzadiging van een grote schare
41006045,Jezus komend over de zee
41006053,Genezingen in Genesaret
41007001,Overlevering van mensen
41007014,Wat ontwijdt
41007024,De Syrofenicische vrouw
41007031,De genezing van een dove en moeilijk sprekende
41008001,De verzadiging van weer een grote schare
41008010,Een teken waarnemen
41008014,De zuurdesem van de farizeeën
41008022,De blinde in Betsaïda
41008027,Wie is Jezus
