vid,Woord,id
48001007,10,2
48001007,13,2
48001023,3,2
48002003,8,2
48002009,14,2
48002014,20,2
48002017,3,2
48003005,3,2
48003005,8,2
48003023,13,2
48004006,17,2
48004008,11,2
48004016,5,2
48004021,6,2
48004027,7,2
48006003,8,2
48006008,3,2
48006008,15,2
48006009,4,2
49001001,12,2
49001011,13,2
49001016,3,2
49001021,24,2
49002002,22,2
49002004,5,2
49002005,2,2
49002020,9,2
49004018,4,2
49004018,14,2
49004028,2,2
49005005,4,2
49005028,15,2
49006006,10,2
49006024,6,2
50001001,14,2
50001007,37,2
50001010,6,2
50001027,15,2
50002002,12,2
50002002,16,2
50002013,5,2
50003003,9,2
50003004,3,2
50003019,20,2
50004007,7,2
50004013,5,2
51002008,7,2
51003025,3,2
51004011,7,2
52002006,2,2
52002010,14,2
52002011,11,2
52002013,34,2
52002015,16,2
52003005,18,2
52004008,3,2
52005007,3,2
52005012,7,2
52005012,11,2
52005012,16,2
52005024,3,2
53001006,7,2
53001008,14,2
53002007,10,2
53003006,18,2
54001007,1,2
55002014,15,2
55002015,9,2
55003007,2,2
55003012,5,2
55004001,9,2
57001009,7,2
50001003,3,3
48004008,12,4
51004003,10,4
52001007,5,4
52002010,12,4
52005003,9,4
55001008,16,4
55002015,5,4
55002021,15,4
55003009,12,4
55004003,15,4
55004008,3,4
56001015,4,4
56002014,14,4
56003003,10,4
56003008,23,4
45016023,6,6
46007035,5,6
49001008,1,6
51002018,20,6
57001014,4,6
40001003,10,7
40001005,7,7
40001005,15,7
40001006,14,7
40001011,11,7
40001016,10,7
40001017,22,7
40001018,25,7
40001020,29,7
40001021,17,7
40001022,10,7
40001022,12,7
40001023,20,7
40001024,6,7
40002001,17,7
40002003,11,7
40002004,12,7
40002005,13,7
40002006,14,7
40002007,9,7
40002008,11,7
40002011,10,7
40002012,10,7
40002015,13,7
40002015,15,7
40002015,19,7
40002016,7,7
40002016,27,7
40002016,36,7
40002017,6,7
40002022,9,7
40002023,13,7
40003003,7,7
40003004,10,7
40003006,8,7
40003007,22,7
40003009,19,7
40003013,6,7
40003013,17,7
40003014,11,7
40003016,8,7
40003017,5,7
40004001,9,7
40004001,13,7
40004004,19,7
40004006,20,7
40004006,23,7
40004014,6,7
40004021,21,7
40004025,7,7
40005011,13,7
40005012,19,7
40005013,25,7
40005018,22,7
40005023,19,7
40005025,11,7
40005029,15,7
40005030,14,7
40005037,15,7
40005038,6,7
40005038,10,7
40005041,9,7
40005042,9,7
40005044,12,7
40006002,23,7
40006008,16,7
40006010,14,7
40006013,11,7
40006019,6,7
40006027,4,7
40006028,3,7
40007004,13,7
40007005,5,7
40007005,17,7
40007009,5,7
40007013,3,7
40007013,25,7
40007015,3,7
40007016,2,7
40007016,10,7
40007016,14,7
40007020,4,7
40007023,11,7
40008001,5,7
40008011,7,7
40008017,6,7
40008024,14,7
40008028,17,7
40008028,28,7
40008029,15,7
40008030,5,7
40008032,19,7
40008034,18,7
40009002,7,7
40009006,12,7
40009011,12,7
40009015,16,7
40009015,26,7
40009016,16,7
40009022,21,7
40009036,7,7
40010014,26,7
40010017,4,7
40010022,5,7
40010027,19,7
40010028,5,7
40010029,9,7
40010029,16,7
40010035,6,7
40010035,12,7
40010035,18,7
40011002,14,7
40011007,11,7
40011007,20,7
40011010,4,7
40011010,13,7
40011019,25,7
40011025,22,7
40011027,5,7
40011029,10,7
40012001,11,7
40012003,15,7
40012004,23,7
40012011,8,7
40012014,8,7
40012017,6,7
40012025,12,7
40012025,21,7
40012030,5,7
40012030,7,7
40012030,14,7
40012032,7,7
40012032,18,7
40012035,5,7
40012035,15,7
40012036,14,7
40012037,9,7
40012038,13,7
40012041,8,7
40012042,8,7
40012042,17,7
40012043,8,7
40012043,12,7
40012045,6,7
40013001,9,7
40013012,17,7
40013020,16,7
40013030,5,7
40013033,18,7
40013035,6,7
40013035,18,7
40013041,12,7
40013044,18,7
40013047,15,7
40013049,16,7
40013052,21,7
40014002,14,7
40014007,3,7
40014008,5,7
40014013,22,7
40014019,7,7
40014024,8,7
40014024,17,7
40014026,7,7
40014026,17,7
40014029,8,7
40015001,6,7
40015005,16,7
40015007,5,7
40015008,15,7
40015011,14,7
40015018,5,7
40015018,8,7
40015022,6,7
40015027,12,7
40015027,17,7
40015028,23,7
40015030,8,7
