id,vid,code,aand,titel,text
4,1004008,GS CK,Studies in Genesis,,"Kain.<br><br>Bloedvergieten is de basis voor menselijk regeren in de huidige bedeling (<a class=""l"">Gen. 9:6</a>). Dat was in de voorafgaande aion niet het geval. Toen was een man, Adam, het beeld van de Onderschikker, aan de macht, en zijn zonen na hem. Zelfs toen Kain Abel doodde, en het bloed van zijn broer van de grond schreeuwde tot de Onderschikker, werd Kain niet gedood voor zijn grote misdaad, maar veroordeeld tot levenslange dienstbaarheid in zware arbeid, nodig om hem in leven te houden. Hij werd niet gevangen genomen, maar hij werd een zwerver en een dwaler, voordurend bang voor vergelding. In plaats van geëxecuteerd te worden, werd er op hem een teken geplaatst, zodat hij niet gedood zou worden voor zijn moord. Dit was voor de vloed de goddelijke regeling.<br>"
12,1010005,GS CK,Studies in Genesis,,"Lamech.<br><br>Maar Kain's zware straf weerhield anderen niet van een soortgelijke misdaad. Het lijkt er op dat Lamech, toen een man hem schade en een jongen hem een striem bezorgde, hen doodde, daarmee de toepassing van het recht uit de handen van Adam's zonen in zijn eigen handen nemend (<a class=""l"">Gen. 4:23,24</a>). Dit geeft ons een blik op hoe zulk een vaderlijke methode van regeren, als we het zo mogen noemen, er niet in slaagt recht te doen en leidt tot wetteloosheid en kwaad, die uiteindelijke de vloed bracht (<a class=""l"">Gen. 6:5</a>).<br><br>Het doodsoordeel.<br><br>In de aion van de vaderlijke heerschappij, voor de huidige, werd aan de mensheid een gelegenheid gegeven om te laten zien wat er gedaan kan worden zonder het doodsoordeel. Lamech aarzelde niet alleen niet hen te doden die hem schade berokkenden, maar roemde over zijn ""heldendaden"". Sindsdien hebben we voorbeelden van hetzelfde, toen er nog geen wettelijke regering was. Dit laat duidelijk zien dat de menselijke gemeenschap in bedwang moet worden gehouden door een hoger gezag, anders zal ze vervallen in anarchie en wederzijdse vernietiging. Dit is een van de belangrijke lessen die de mensheid moet leren tijdens alle boze aionen."
13,1010005,GS CK,Studies in Genesis,,"Abraham en de natiën <br><br>Natiën  en koningen worden in de aion voor de vloed nooit genoemd. De inperkingen die er waren, waren in de handen van Adam en zijn zonen (of opvolgers). Zij faalden totaal, en dat leidde tot de vloed. Al snel na de vloed, echter, lezen we van natiën (<a class=""l"">Gen. 10:5</a>). We zouden het Hebreeuwse woord letterlijk kunnen weergeven met LICHAMEN, zoals het verderop wordt vertaald. waar de Egyptenaren tot Jozef zeggen dat zijn niets over hebben om voor voedsel te betalen dan hun lichamen en hun grond (<a class=""l"">Gen. 47:18</a>). De King James weergave met ""heidenen"" (<a class=""l"">Gen. 10:5</a>, etc) is zeer misleidend, zeker wanneer het gebruikt wordt in een tijd dat er nog geen Joden waren. De weergave met ""volk"" (Joel. 3.8) is ook verwarrend, omdat dit gewoonlijk gebruikt wordt voor een ander Hebreeuws woord dat vaak gebruikt wordt.<br>"
20,1014001,GS CK,Studies in Genesis,,"Koningen van de tweedracht.<br><br>Koningen stonden waarschijnlijk als snel na het formeren van natiën op, maar we horen slechts weinig over hen, tot ze in contact kwamen met Abram, de voorvader van de Koning der Koningen, Die de Koning van de vrede zal zijn. Dezen komen echter voor ons, om te beginnen, als koningen van de tweedracht. Er waren niet alleen koningen, maar federaties van koningen, die niet alleen hun eigen onderdanen probeerden te onderwerpen, maar ook andere koningen. Het eerste glimpje dat we van koningen krijgen geeft ons een kenmerkend beeld van hun activiteiten. Een samenwerkingsverband van vier koningen werd gevormd voor de strijd tegen een ander, van vijf koningen. De vier overwinnende koningen plunderden Sodom en Gomorra en namen Lot, Abram's neef, met hen mee (Gen. 14).<br><br> Stadskoningen onderschikt.<br><br>Omdat de namen van de koningen en landen na Babel niet Hebreeuws hoeven te zijn, tasten we vaak in het duister waar het gaat om hun betekenis. Wanneer ze in het Hebreeuws een betekenis schijnen te leveren, en passend zijn, kunnen we de betekenis veronderstellen. Shinar kan Dubbel-Stad betekenen, wat best mogelijk is. Nineveh was zo'n samengestelde stad, wat de koning een aanzienlijk prestige gaf en Amraphel aan de kop van deze lijst stelt. Amr (ZEG) phl (WERPEN) of Am (TROUW) r (RICHTEN) phl (WERPEN), lijken niet erg passende betekenissen. Alle koningen van het tweede samenwerkingsverband zijn koningen van steden, zoals Sodom (GEGRONDvest) en Gomorra (OMER) en Zoar (JONGSTE of KLEINSTE), waar we meer informatie over hebben. Chedorlaomer schijnt dezen aan zich onderschikt te hebben, maar zij stonden tegen hem op, en nu kwam hij met zijn confederanten om hen opnieuw te onderschikken (<a class=""l"">Gen. 14:1</a>).<br><br>Twee natiën.<br><br>Tidal, zo wordt ons verteld, was ""koning van natiën"". De RSV verandert ""natiën"" in ""Goiim,"" wat het Hebreeuws is voor ""natiën"". Maar dit onderscheidt hem nauwelijks van anderen. Er wordt wel verondersteld dat het Hebreeuwse meervoud hier ""twee natiën"" kan betekenen, en dit kan gebruikt zijn geworden voor de naam Shinar, dubbel-stad, voor een confederatie van twee staten, met slechts één koning over hen. Deze naam en deze hele campagne laat de neiging van de natiën zien naar centralisatie onder één hoofd, die het gebied van al deze koningen, en alle andere, onder zijn heerschappij bevatte."
21,1014003,GS CK,Studies in Genesis,,"De zoutopbrengsten.<br><br>Het opmerkelijke kenmerk van dit slagveld was dit: dat het de laagste plaats op Aarde was. De vallei van de zoutvlakten is de nu de Zoutzee, of zoals wij ze nu noemen: de Dode Zee. Al dit lage land is nu met zout water bedekt. Het feit dat het vuur dat de steden vernietigde vergezeld ging van zwavel, en dat het nu bedekt is met zout water, geeft een sterke aanwijzing over de reiniging van de Aarde in de toekomst. Het is behulpzaam er op te letten dat wat men ""de natuur"" noemt, het toneel heeft overdekt, en om te zien hoe dat gedaan werd. De Jordaan is erg bochtig en wast bij iedere bocht een beetje grond weg, en deponeert dat aan de noordkant van de zee. Doorheen de tijd heeft dit er voor gezorgd dat de waterspiegel steeg en heel ""de vallei van de Jordaan"" onder water gezet werd, die door Lot werd gekozen, aan de zuidelijke kant. Dit is een schitterende illustratie van hoe toekomstig geluk uit geloof voortkomt, niet uit hedendaagse welvaart.<br><br>Abram, de Hebreeër.<br><br>Het is opmerkelijk dat Abram geen aandeel had in deze strijd, ook al was hij een erg rijk man en had hij een behoorlijk gevolg dat kon vechten, zoals hij later liet zien. Van vrijwel al deze koningen wordt gezegd dat ze verbonden waren aan een stad. Zij volgden het voorbeeld van Kaïn, die een versterkte plaats bouwde voor zijn eigen bescherming. Zelfs Sodom schijnt een muur gehad te hebben, want Lot zat er in de poort (<a class=""l"">Gen. 19:11</a>). Abram, daarentegen, woonde in een verplaatsbare tent, en kon daarom verder gaan. Dat schijnt ook de reden te zijn waarom, op dit punt, hij de Voorbijganger wordt genoemd, of in het Hebreeuws Obri. Hij was een reiziger, een rondtrekker, een nomade. Hij was geen koning, met een gevestigde stad, maar ging van plaats tot plaats. Toch had hij een uitgebreid gevolg, die de overwinnaars overwonnen wanneer het nodig was. Dit voorafschaduwde de natie die nog in hem was, die alle natiën zou onderschikken en vrede zou brengen.<br><br>Het eerste geïnspireerde verslag van de activiteiten van de natiën op Aarde is zeer suggestief. Twee groepen natiën voeren oorlog met elkaar, maar de winnaars worden door Abram overwonnen! Dat is, kort gezegd, de geschiedenis van alle natiën tijdens de aionen. In plaats van dat elk voor zich organiseert om recht en vrede te zeker te stellen onder zijn eigen onderdanen, spannen ze samen om met elkaar oorlog te voeren, totdat de Zoon van Abram tussenbeide komt en herstelt wat zij vernield hebben. En, zeer opmerkelijk, Melchizedek, koning van rechtvaardigheid en koning van vrede, het type van de Koning der koningen, voegt zijn zegen toe, net zoals de Messias Zelf in die komende dag het zaad van Abraham zal zegenen."
22,1014018,CC,Commentaar,,link:extra/com/Gen14_18.htm
23,1015016,GS CK,Studies in Genesis,,"Abram is then told that his seed shall be afflicted for four centuries. Not until the fourth generation shall the seed possess the land (<a class=""l"">15:16</a>). Here is what appears to be frustration of Ieue's promise, because the Amorite has not yet been repaid (<a class=""l"">15:16</a>)."
505,40001000,CC CK,Commentaar - Inleiding,,link:extra/com/Mat_inl.htm
507,40001001,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">1</span><br><br><br>Dit is de koninklijke afstamming van de Zoon van David, en ook de titel voor het land dat aan Abraham werd geschonken. In tegenstelling tot de genealogie die door Lucas wordt gegeven, wordt ons de feitelijke fysieke afstamming gegeven via de mannelijke lijn naar Jozef, de echtgenoot van Maria, de moeder van onze Heer. De drie delen brengen ons de drie onderscheiden fases voor ogen van heerschappij en het falen van elk.<br>Eerst hebben we de theocratie tot David, die eindigde toen het volk riep om een koning (<a class=""l"">1Sam. 8:6-22</a>).<br>Dan komt de periode van het koninkrijk, die een serie van mislukkingen was, tot aan de Babylonische ballingschap.<br>Sindsdien heersten de natiën over Israël, tot de geboorte van de Messias, toen zij onder het Romeinse juk waren. Het was een treurige afgang en bewees zonder twijfel dat geen mannelijke lid van deze lijn ooit capabel zou zijn om te zitten op de troon van de Messias. <br><br>David was de grootste van de koningen, maar toch was zijn zoon Salom een levend bewijs van zijn verschrikkelijke zonde. En de lijn van zijn zonen raakte zo gedegenereerd, dat ten tijde van de verbanning, Jechoniah de vloek van JAHWEH over zich afriep: <blockquote><span class=""bijbel"">""Zo zegt de HEERE:<br>Schrijft dezen zelfden man kinderloos, <br>een man, [die] niet voorspoedig zal zijn in zijn dagen;<br>want er zal niemand van zijn zaad voorspoedig zijn, <br>zittende op den troon Davids, <br>en heersende meer in Juda.""</span><br> (<a class=""l"">Jer. 22:30</a>;SV)</blockquote><br><br>Noch Jozef, noch iemand van zijn nakomelingen sinds de verbanning, had recht op de troon. Indien Christus zijn natuurlijke zoon zou zijn, zou ook Hij uitgesloten zijn. De Messias kan niet van het zaad van Jechoniah zijn. Daarom was er de absolute noodzaak van de maagdelijke geboorte. Van God verkregen, kleurden de zonden van het nageslacht niet zijn bloed, en de vloek van Coniah had op Hem geen claim. Maar, als de Zoon van Jozef erfde Hij de titel voor de troon en alle eer van het huis van David. <br><br><br>"
508,40001008,CC CK,Concordant Commentaar op het NT,,"<span class=""h"">8</span><br><br>Tussen Joram en Ozias waren er drie koningen: Ahaziah, Joas en Amaziah, maar hun namen werden uitgewist volgens de wet (<a class=""l"">Dt. 29:20</a>), omdat zij afgoderij invoerden in Israël. Ahaziah (of Azarja of Jehoahaz) wandelde in de wegen van Achab en werd door Jehu gedood (<a class=""l"">2Kron. 22:3,9</a>). Joas diende Jehovah zolang de priester Jehoiada leefde, maar daarna dienden de prinsen van Juda afgoden. Hij doodde de zoon van Jehoiada, die protesteerde. Daarom doodden de dienaren van koning Joas hem en wilden ze hem niet begraven in de tombes van de koningen (<a class=""l"">2Kron. 24:17-25</a>). Amaziah boog zich ook voor de goden van de zonen van Seïr, en werd gedood door het valk van Jeruzalem (<a class=""l"">2Kron. 25:15-27</a>)<div class=""ConCom4b"">Venster sluiten</div>"
