num,hebreeuws,text,BDB,pos
1,אָב,"'ab, <i>awb</i>;  a primitive word; father, in a literal and immediate, or figurative and remote application):--chief, (fore-)father(-less), X patrimony, principal. Compare names in ""Abi-"".","1) father of an individual<br>2) of God as father of his people<br>3) head or founder of a household, group, family, or clan<br>4) ancestor<br><div class=""s15p"">4a) grandfather, forefathers - of person</div><div class=""s15p"">4b) of people</div>5) originator or patron of a class, profession, or art<br>6) of producer, generator (figuratively)<br>7) of benevolence and protection (figuratively)<br>8) term of respect and honour<br>9) ruler or chief (specifically)<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: a root",n-m
2,אַב,"'ab, <i>ab</i>;  (Aramaic) corresponding to ''ab' (<a class=""SR"">H1</a>):--father.",1) father<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H1</a>,n-m
3,אֵב,"'eb, <i>abe</i>;  from the same as ''abiyb' (<a class=""SR"">H24</a>); a green plant:--greenness, fruit.","1) freshness, fresh green, green shoots, or greenery<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from the same as <a class='SR'>H24</a>",n-m
4,אֵב,"'eb, <i>abe</i>;  (Aramaic) corresponding to ''eb' (<a class=""SR"">H3</a>):--fruit.","1) fruit, fresh, young, greening<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H3</a>",n-m
5,אֲבַגְתָא,"'Abagtha', <i>ab-ag-thaw'</i>;  of foreign origin; Abagtha, a eunuch of Xerxes:--Abagtha.","Abagtha = ""God-given""<br>1) one of the seven eunuchs in the Persian court of Ahasuerus<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: of foreign origin",n-pr-m
6,אָבַד,"'abad, <i>aw-bad'</i>;  a primitive root; properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy):--break, destroy(- uction), + not escape, fail, lose, (cause to, make) perish, spend, X and surely, take, be undone, X utterly, be void of, have no way to flee.","1) perish, vanish, go astray, be destroyed<br><div class=""s15p"">1a) (Qal)</div><div class=""s30p"">1a1) perish, die, be exterminated</div><div class=""s30p"">1a2) perish, vanish (figuratively)</div><div class=""s30p"">1a3) be lost, strayed</div><div class=""s15p"">1b) (Piel)</div><div class=""s30p"">1b1) to destroy, kill, cause to perish, to give up</div><div class=""s30p"">1b2) to blot out, do away with, cause to vanish, (figuratively)</div><div class=""s30p"">1b3) cause to stray, lose</div><div class=""s15p"">1c) (Hiphil)</div><div class=""s30p"">1c1) to destroy, put to death</div><div class=""s45p"">1c1a) of divine judgment</div><div class=""s30p"">1c2) object name of kings (figuratively)</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
7,אֲבַד,"'abad, <i>ab-ad'</i>;  (Aramaic) corresponding to ''abad' (<a class=""SR"">H6</a>):--destroy, perish.","1) to perish, vanish<br><div class=""s15p"">1a) (Peal) shall perish</div><div class=""s15p"">1b) (Aphel) destroy</div><div class=""s15p"">1c) (Hophal) be destroyed</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H6</a>",v
8,אֹבֵד,"'obed, <i>o-bade'</i>;  active of participle of ''abad' (<a class=""SR"">H6</a>); (concrete) wretched or (abstract) destructin:--perish.",1) destruction<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: active of participle of <a class='SR'>H6</a>,n-m
9,אֲבֵדָה,"'abedah, <i>ab-ay-daw'</i>;  from ''abad' (<a class=""SR"">H6</a>); concrete, something lost; abstract, destruction, i.e. Hades:--lost. Compare ''abaddoh' (<a class=""SR"">H10</a>).","1) a lost thing, something lost<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6</a>",n-f
10,אֲבַדֹּה,"'abaddoh, <i>ab-ad-do'</i>;  the same as ''abedah' (<a class=""SR"">H9</a>), miswritten for ''abaddown' (<a class=""SR"">H11</a>); a perishing:-- destruction.","1) a lost thing, something lost, a perishing<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: the same as <a class='SR'>H9</a>, incorrectly written for 11",n-f
11,אֲבַדּוֹן,"'abaddown, <i>ab-ad-done'</i>;  intensive from ''abad' (<a class=""SR"">H6</a>); abstract, a perishing; concrete, Hades:--destruction.","1) place of destruction, destruction, ruin, Abaddon<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: intensive from <a class='SR'>H6</a>",n-pr-loc
12,אַבְדָן,"'abdan, <i>ab-dawn'</i>;  from ''abad' (<a class=""SR"">H6</a>); a perishing:--destruction.",1) destruction<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6</a>,n-m
